"Hollandale","Washington County","Mississippi",2584,2702,3437,3576,4336,3260,2646,2346,1606,1211,799,481,325,0,0,0,0,0,0,0,0,0
"Holly Springs","Marshall County","Mississippi",7574,7699,7957,7261,7285,5728,5621,3276,2750,2271,2113,2192,2815,2246,2370,2406,2987,0,,,,
"Horn Lake","DeSoto County","Mississippi",26766,26066,14099,9069,4326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Houston","Chickasaw County","Mississippi",3543,3623,4079,3903,3745,2720,2577,1664,1729,1477,1408,1400,677,893,480,400,0,0,,,,
"Indianola","Sunflower County","Mississippi",10078,10683,12066,11809,8050,8947,6714,4369,3604,3116,2112,1098,630,249,0,0,0,0,0,0,0,0
"Inverness","Sunflower County","Mississippi",957,1019,1153,1174,1034,1119,1039,1010,677,683,561,221,0,0,0,0,0,0,0,0,0,0
"Isola","Humphreys County","Mississippi",668,713,768,732,834,458,532,450,449,519,616,478,0,0,0,0,0,0,0,0,0,0
"Itta Bena","Leflore County","Mississippi",1999,2049,2208,2377,2904,2489,1914,1725,1795,1370,1620,1427,416,0,0,0,0,0,0,0,0,0
"Iuka","Tishomingo County","Mississippi",2987,3028,3059,3122,2846,2389,2010,1527,1664,1441,1306,1221,882,1019,845,0,0,0,0,0,0,0
"Jackson","Hinds County","Mississippi",171155,173514,184256,196637,202895,153968,144422,98271,62107,48282,22817,21262,7816,5920,5204,4234,3191,1881,0,0,0,0
"Jonestown","Coahoma County","Mississippi",1226,1298,1701,1467,1231,1110,889,741,706,506,469,367,317,286,147,0,0,0,0,0,0,0
"Jumpertown","Prentiss County","Mississippi",487,480,404,438,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kilmichael","Montgomery County","Mississippi",629,699,830,826,906,543,532,511,556,577,395,380,227,0,0,0,0,0,0,0,0,0
"Kosciusko","Attala County","Mississippi",7237,7402,7372,6986,7415,7266,6800,6753,4291,3237,2258,2385,2078,1394,0,0,0,0,0,0,0,0
"Kossuth","Alcorn County","Mississippi",209,209,170,245,190,227,178,242,238,224,247,193,162,165,0,0,0,0,0,0,0,0
"Lake","Newton/Scott County","Mississippi",326,324,408,369,524,441,297,345,437,375,455,429,0,0,190,0,0,0,0,0,0,0
"Lambert","Quitman County","Mississippi",1524,1638,1967,1131,1624,1511,1181,1023,1016,800,957,573,0,0,0,0,0,0,0,0,0,0
"Laurel","Jones County","Mississippi",18868,18540,18393,18827,21897,24145,27899,25038,20598,18017,13037,8465,3193,0,0,0,0,0,0,0,0,0
"Leakesville","Greene County","Mississippi",887,898,1026,1129,1120,1090,1014,893,834,562,555,466,0,0,0,0,0,0,0,0,0,0
"Learned","Hinds County","Mississippi",95,94,50,111,113,116,96,126,130,134,136,134,138,119,0,0,0,0,0,0,0,0
"Leland","Washington County","Mississippi",4262,4481,5502,6366,6667,6000,6295,4736,3700,2426,2003,1547,762,485,0,0,0,0,0,0,0,0
"Lena","Leake County","Mississippi",143,148,167,175,231,233,6295,4736,3700,432,198,0,0,0,0,0,0,0,0,0,0,0
"Lexington","Holmes County","Mississippi",1622,1731,2025,2227,2628,2756,2839,3198,2930,2590,1792,2428,1516,1075,798,744,887,656,,,,
"Liberty","Amite County","Mississippi",694,728,633,624,669,612,642,683,665,551,515,556,392,0,0,0,0,0,0,0,0,0
"Long Beach","Harrison County","Mississippi",15448,14792,17320,15804,14199,6170,4770,2703,1495,1346,980,1026,0,0,0,0,0,0,0,0,0,0
"Louin","Jasper County","Mississippi",269,277,339,289,338,382,389,478,485,583,475,523,0,0,0,0,0,0,0,0,0,0
"Louise","Humphreys County","Mississippi",187,199,315,343,400,444,481,479,456,514,537,69,0,0,0,0,0,0,0,0,0,0
"Louisville","Winston County","Mississippi",6325,6631,7006,7169,7323,6626,5066,5282,3451,3013,1777,1181,505,484,418,385,0,0,,,,
"Lucedale","George County","Mississippi",3016,2923,2458,2592,2429,2083,1977,1631,1204,834,629,797,0,0,0,0,0,0,0,0,0,0
"Lula","Coahoma County","Mississippi",283,298,370,224,394,445,484,488,503,448,344,160,174,0,0,0,0,0,0,0,0,0
"Lumberton","Lamar County","Mississippi",2209,2086,2228,2121,2217,2084,2108,1803,1485,2374,2192,2122,1509,0,0,0,0,0,0,0,0,0
"Lyon","Coahoma County","Mississippi",333,350,418,446,428,383,393,386,339,295,277,223,166,0,0,0,0,0,0,0,0,0
"Maben","Oktibbeha/Webster County","Mississippi",877,871,803,752,855,862,696,616,675,508,499,539,282,0,0,0,0,0,0,0,0,0
"Macon","Noxubee County","Mississippi",2647,2768,2461,2256,2396,2612,2432,2241,2261,2198,2051,2024,2067,1565,2074,975,989,0,,,,
"Madison","Madison County","Mississippi",25455,24149,14692,7471,2241,853,703,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Magee","Simpson County","Mississippi",4413,4408,4200,3607,3497,2973,2039,1738,1221,964,730,685,0,0,0,0,0,0,0,0,0,0
"Magnolia","Pike County","Mississippi",2379,2420,2071,2245,2461,1970,2083,1984,2125,1660,2012,1823,1088,676,567,0,0,0,0,0,0,0
