"Place","Type","County","State",2015,2010,2000
"Haycock","township","Bucks County","Pennsylvania",2218,2225,2191
"Hilltown","township","Bucks County","Pennsylvania",15262,15029,12102
"Lower Makefield","township","Bucks County","Pennsylvania",32755,32559,32681
"Lower Southampton","township","Bucks County","Pennsylvania",19142,18909,19276
"Middletown","township","Bucks County","Pennsylvania",45407,45436,44141
"Milford","township","Bucks County","Pennsylvania",10053,9902,8810
"New Britain","township","Bucks County","Pennsylvania",11236,11070,10698
"Newtown","township","Bucks County","Pennsylvania",19704,19299,18206
"Nockamixon","township","Bucks County","Pennsylvania",3413,3441,3517
"Northampton","township","Bucks County","Pennsylvania",39587,39726,39384
"Plumstead","township","Bucks County","Pennsylvania",13511,12442,11409
"Richland","township","Bucks County","Pennsylvania",13155,13052,9920
"Solebury","township","Bucks County","Pennsylvania",8639,8692,7743
"Springfield","township","Bucks County","Pennsylvania",5036,5035,4963
"Tinicum","township","Bucks County","Pennsylvania",3963,3995,4206
"Upper Makefield","township","Bucks County","Pennsylvania",8255,8190,7180
"Upper Southampton","township","Bucks County","Pennsylvania",15121,15152,15764
"Warminster","township","Bucks County","Pennsylvania",32594,32682,31383
"Warrington","township","Bucks County","Pennsylvania",23942,23418,17580
"Warwick","township","Bucks County","Pennsylvania",14694,14437,11977
"West Rockhill","township","Bucks County","Pennsylvania",5277,5256,4233
"Wrightstown","township","Bucks County","Pennsylvania",3110,2995,2839
"Adams","township","Butler County","Pennsylvania",13212,11652,6774
"Allegheny","township","Butler County","Pennsylvania",637,641,555
"Brady","township","Butler County","Pennsylvania",1266,1310,1452
"Buffalo","township","Butler County","Pennsylvania",7268,7307,6827
"Butler","township","Butler County","Pennsylvania",16803,17248,17185
"Center","township","Butler County","Pennsylvania",7797,7898,8182
"Cherry","township","Butler County","Pennsylvania",1083,1106,1053
"Clay","township","Butler County","Pennsylvania",2644,2703,2628
"Clearfield","township","Butler County","Pennsylvania",2587,2645,2705
"Clinton","township","Butler County","Pennsylvania",2842,2864,2779
"Concord","township","Butler County","Pennsylvania",1464,1505,1493
"Connoquenessing","township","Butler County","Pennsylvania",4017,4170,3653
"Cranberry","township","Butler County","Pennsylvania",30458,28098,23625
"Donegal","township","Butler County","Pennsylvania",1841,1864,1722
"Fairview","township","Butler County","Pennsylvania",2034,2080,2061
"Forward","township","Butler County","Pennsylvania",2622,2531,2687
"Franklin","township","Butler County","Pennsylvania",2688,2620,2292
"Jackson","township","Butler County","Pennsylvania",3699,3657,3645
"Jefferson","township","Butler County","Pennsylvania",5385,5504,5690
"Lancaster","township","Butler County","Pennsylvania",2523,2532,2511
"Marion","township","Butler County","Pennsylvania",1208,1239,1330
"Mercer","township","Butler County","Pennsylvania",1075,1100,1183
