"Place","Type","County","State",2015,2010,2000
"Cold Spring","township","Lebanon County","Pennsylvania",54,52,49
"East Hanover","township","Lebanon County","Pennsylvania",2880,2801,2858
"Heidelberg","township","Lebanon County","Pennsylvania",4153,4069,3832
"Jackson","township","Lebanon County","Pennsylvania",8592,8163,6338
"Millcreek","township","Lebanon County","Pennsylvania",4009,3892,2921
"North Annville","township","Lebanon County","Pennsylvania",2452,2381,2279
"North Cornwall","township","Lebanon County","Pennsylvania",7773,7553,6403
"North Lebanon","township","Lebanon County","Pennsylvania",11772,11429,10629
"North Londonderry","township","Lebanon County","Pennsylvania",8363,8068,6771
"South Annville","township","Lebanon County","Pennsylvania",2924,2850,2946
"South Lebanon","township","Lebanon County","Pennsylvania",9741,9463,8383
"South Londonderry","township","Lebanon County","Pennsylvania",7668,6991,5458
"Swatara","township","Lebanon County","Pennsylvania",4628,4555,3941
"Union","township","Lebanon County","Pennsylvania",3117,3099,2590
"West Cornwall","township","Lebanon County","Pennsylvania",1988,1976,1909
"West Lebanon","township","Lebanon County","Pennsylvania",801,781,836
"Hanover","township","Lehigh County","Pennsylvania",1584,1571,1913
"Heidelberg","township","Lehigh County","Pennsylvania",3482,3416,3279
"Lower Macungie","township","Lehigh County","Pennsylvania",31806,30633,19220
"Lower Milford","township","Lehigh County","Pennsylvania",3879,3775,3617
"Lowhill","township","Lehigh County","Pennsylvania",2255,2173,1869
"Lynn","township","Lehigh County","Pennsylvania",4331,4229,3849
"North Whitehall","township","Lehigh County","Pennsylvania",16162,15703,14731
"Salisbury","township","Lehigh County","Pennsylvania",13719,13505,13498
"South Whitehall","township","Lehigh County","Pennsylvania",19698,19180,18028
"Upper Macungie","township","Lehigh County","Pennsylvania",22855,20063,13895
"Upper Milford","township","Lehigh County","Pennsylvania",7575,7292,6889
"Upper Saucon","township","Lehigh County","Pennsylvania",16174,14808,11939
"Washington","township","Lehigh County","Pennsylvania",6745,6624,6588
"Weisenberg","township","Lehigh County","Pennsylvania",5107,4923,4144
"Whitehall","township","Lehigh County","Pennsylvania",27313,26738,24896
"Bear Creek","township","Luzerne County","Pennsylvania",2764,2774,2580
"Black Creek","township","Luzerne County","Pennsylvania",2059,2016,2132
"Buck","township","Luzerne County","Pennsylvania",433,435,396
"Butler","township","Luzerne County","Pennsylvania",9634,9221,7166
"Conyngham","township","Luzerne County","Pennsylvania",1441,1453,1385
"Dallas","township","Luzerne County","Pennsylvania",9277,8994,8179
"Dennison","township","Luzerne County","Pennsylvania",1119,1125,908
"Dorrance","township","Luzerne County","Pennsylvania",2213,2188,2109
"Exeter","township","Luzerne County","Pennsylvania",2363,2378,2557
"Fairmount","township","Luzerne County","Pennsylvania",1267,1276,1226
"Fairview","township","Luzerne County","Pennsylvania",4492,4520,3995
"Foster","township","Luzerne County","Pennsylvania",3439,3467,3323
"Franklin","township","Luzerne County","Pennsylvania",1752,1757,1601
"Hanover","township","Luzerne County","Pennsylvania",10932,11076,11488
"Hazle","township","Luzerne County","Pennsylvania",9558,9549,9000
"Hollenback","township","Luzerne County","Pennsylvania",1196,1196,1243
"Hunlock","township","Luzerne County","Pennsylvania",2429,2443,2568
"Huntington","township","Luzerne County","Pennsylvania",2232,2244,2104
"Jackson","township","Luzerne County","Pennsylvania",4648,4646,4453
"Jenkins","township","Luzerne County","Pennsylvania",4451,4442,4584
"Kingston","township","Luzerne County","Pennsylvania",6970,6999,7145
"Lake","township","Luzerne County","Pennsylvania",2044,2049,2110
"Lehman","township","Luzerne County","Pennsylvania",3479,3508,3206
"Nescopeck","township","Luzerne County","Pennsylvania",1160,1155,1096
"Newport","township","Luzerne County","Pennsylvania",5395,5374,5006
"Pittston","township","Luzerne County","Pennsylvania",3391,3368,3450
"Plains","township","Luzerne County","Pennsylvania",9776,9961,10906
"Plymouth","township","Luzerne County","Pennsylvania",1788,1812,2097
"Rice","township","Luzerne County","Pennsylvania",3509,3335,2460
"Ross","township","Luzerne County","Pennsylvania",2922,2937,2742
"Salem","township","Luzerne County","Pennsylvania",4207,4254,4269
"Slocum","township","Luzerne County","Pennsylvania",1097,1115,1112
"Sugarloaf","township","Luzerne County","Pennsylvania",4129,4211,3652
"Union","township","Luzerne County","Pennsylvania",2032,2042,2100
"Wilkes-Barre","township","Luzerne County","Pennsylvania",2932,2967,3235
"Wright","township","Luzerne County","Pennsylvania",5658,5651,5593
"Anthony","township","Lycoming County","Pennsylvania",879,865,904
"Armstrong","township","Lycoming County","Pennsylvania",696,681,717
"Bastress","township","Lycoming County","Pennsylvania",561,546,574
"Brady","township","Lycoming County","Pennsylvania",539,521,494
"Brown","township","Lycoming County","Pennsylvania",96,96,111
"Cascade","township","Lycoming County","Pennsylvania",410,413,419
"Clinton","township","Lycoming County","Pennsylvania",3706,3708,3947
"Cogan House","township","Lycoming County","Pennsylvania",942,955,974
"Cummings","township","Lycoming County","Pennsylvania",267,273,355
"Eldred","township","Lycoming County","Pennsylvania",2138,2122,2178
"Fairfield","township","Lycoming County","Pennsylvania",2784,2792,2659
"Franklin","township","Lycoming County","Pennsylvania",953,933,915
"Gamble","township","Lycoming County","Pennsylvania",760,756,854
"Hepburn","township","Lycoming County","Pennsylvania",2738,2762,2836
"Jackson","township","Lycoming County","Pennsylvania",390,396,414
"Jordan","township","Lycoming County","Pennsylvania",867,863,878
"Lewis","township","Lycoming County","Pennsylvania",970,987,1139
"Limestone","township","Lycoming County","Pennsylvania",2023,2019,2136
"Loyalsock","township","Lycoming County","Pennsylvania",11176,11026,10876
"Lycoming","township","Lycoming County","Pennsylvania",1487,1478,1606
"McHenry","township","Lycoming County","Pennsylvania",141,143,145
"McIntyre","township","Lycoming County","Pennsylvania",510,520,539
"McNett","township","Lycoming County","Pennsylvania",168,174,211
"Mifflin","township","Lycoming County","Pennsylvania",1054,1070,1145
"Mill Creek","township","Lycoming County","Pennsylvania",620,604,572
"Moreland","township","Lycoming County","Pennsylvania",960,943,1036
"Muncy","township","Lycoming County","Pennsylvania",1091,1089,1059
"Muncy Creek","township","Lycoming County","Pennsylvania",3535,3474,3487
"Nippenose","township","Lycoming County","Pennsylvania",713,709,729
"Old Lycoming","township","Lycoming County","Pennsylvania",5039,4938,5508
"Penn","township","Lycoming County","Pennsylvania",985,960,900
"Piatt","township","Lycoming County","Pennsylvania",1163,1180,1259
"Pine","township","Lycoming County","Pennsylvania",297,294,329
"Plunketts Creek","township","Lycoming County","Pennsylvania",691,684,771
"Porter","township","Lycoming County","Pennsylvania",1582,1601,1633
"Shrewsbury","township","Lycoming County","Pennsylvania",406,409,433
"Susquehanna","township","Lycoming County","Pennsylvania",987,1000,993
"Upper Fairfield","township","Lycoming County","Pennsylvania",1814,1823,1854
"Washington","township","Lycoming County","Pennsylvania",1667,1619,1613
"Watson","township","Lycoming County","Pennsylvania",536,537,550
"Wolf","township","Lycoming County","Pennsylvania",3016,2907,2707
"Woodward","township","Lycoming County","Pennsylvania",2181,2200,2397
"Annin","township","McKean County","Pennsylvania",687,694,835
"Bradford","township","McKean County","Pennsylvania",4811,4805,4816
"Ceres","township","McKean County","Pennsylvania",880,905,1003
"Corydon","township","McKean County","Pennsylvania",270,275,301
"Eldred","township","McKean County","Pennsylvania",1554,1592,1696
"Foster","township","McKean County","Pennsylvania",4210,4316,4566
"Hamilton","township","McKean County","Pennsylvania",525,543,637
"Hamlin","township","McKean County","Pennsylvania",711,734,819
"Keating","township","McKean County","Pennsylvania",2949,3021,3087
"Lafayette","township","McKean County","Pennsylvania",2298,2350,2337
"Liberty","township","McKean County","Pennsylvania",1567,1612,1726
"Norwich","township","McKean County","Pennsylvania",565,583,633
"Otto","township","McKean County","Pennsylvania",1528,1556,1738
"Sergeant","township","McKean County","Pennsylvania",137,141,176
"Wetmore","township","McKean County","Pennsylvania",1614,1650,1721
"Coolspring","township","Mercer County","Pennsylvania",2242,2278,2287
"Deer Creek","township","Mercer County","Pennsylvania",488,502,465
"Delaware","township","Mercer County","Pennsylvania",2243,2291,2159
"East Lackawannock","township","Mercer County","Pennsylvania",1659,1682,1701
"Fairview","township","Mercer County","Pennsylvania",1069,1085,1036
"Findley","township","Mercer County","Pennsylvania",2883,2910,2305
"French Creek","township","Mercer County","Pennsylvania",754,771,764
"Greene","township","Mercer County","Pennsylvania",1069,1091,1153
"Hempfield","township","Mercer County","Pennsylvania",3712,3741,4004
"Jackson","township","Mercer County","Pennsylvania",1272,1273,1206
"Jefferson","township","Mercer County","Pennsylvania",1875,1880,2416
"Lackawannock","township","Mercer County","Pennsylvania",2614,2662,2561
"Lake","township","Mercer County","Pennsylvania",777,780,706
"Liberty","township","Mercer County","Pennsylvania",1418,1414,1276
"Mill Creek","township","Mercer County","Pennsylvania",714,721,639
"New Vernon","township","Mercer County","Pennsylvania",507,504,524
"Otter Creek","township","Mercer County","Pennsylvania",577,589,611
"Perry","township","Mercer County","Pennsylvania",1411,1453,1471
"Pine","township","Mercer County","Pennsylvania",5081,5150,4493
"Pymatuning","township","Mercer County","Pennsylvania",3178,3281,3782
"Salem","township","Mercer County","Pennsylvania",741,754,769
"Sandy Creek","township","Mercer County","Pennsylvania",775,795,848
"Sandy Lake","township","Mercer County","Pennsylvania",1199,1226,1248
"Shenango","township","Mercer County","Pennsylvania",3829,3929,4037
"South Pymatuning","township","Mercer County","Pennsylvania",2628,2695,2857
"Springfield","township","Mercer County","Pennsylvania",1963,1981,1972
"Sugar Grove","township","Mercer County","Pennsylvania",947,971,909
"West Salem","township","Mercer County","Pennsylvania",3475,3538,3565
"Wilmington","township","Mercer County","Pennsylvania",1418,1415,1105
"Wolf Creek","township","Mercer County","Pennsylvania",844,832,729
"Worth","township","Mercer County","Pennsylvania",907,899,830
"Armagh","township","Mifflin County","Pennsylvania",3821,3863,3988
"Bratton","township","Mifflin County","Pennsylvania",1303,1317,1259
"Brown","township","Mifflin County","Pennsylvania",4077,4053,3852
"Decatur","township","Mifflin County","Pennsylvania",3107,3137,3021
"Derry","township","Mifflin County","Pennsylvania",7330,7339,7256
"Granville","township","Mifflin County","Pennsylvania",5055,5104,4895
"Menno","township","Mifflin County","Pennsylvania",1924,1883,1763
"Oliver","township","Mifflin County","Pennsylvania",2196,2175,2060
"Union","township","Mifflin County","Pennsylvania",3466,3460,3313
"Wayne","township","Mifflin County","Pennsylvania",2534,2550,2414
"Barrett","township","Monroe County","Pennsylvania",4073,4225,3880
"Chestnuthill","township","Monroe County","Pennsylvania",16670,17156,14418
"Coolbaugh","township","Monroe County","Pennsylvania",20223,20564,15205
"Eldred","township","Monroe County","Pennsylvania",2836,2910,2665
"Hamilton","township","Monroe County","Pennsylvania",8809,9083,8235
"Jackson","township","Monroe County","Pennsylvania",6827,7033,5979
"Middle Smithfield","township","Monroe County","Pennsylvania",15679,15997,11495
"Paradise","township","Monroe County","Pennsylvania",3089,3186,2671
"Pocono","township","Monroe County","Pennsylvania",10780,11065,9607
"Polk","township","Monroe County","Pennsylvania",7649,7874,6533
"Price","township","Monroe County","Pennsylvania",3521,3573,2649
"Ross","township","Monroe County","Pennsylvania",5759,5940,5435
"Smithfield","township","Monroe County","Pennsylvania",7307,7357,5672
"Stroud","township","Monroe County","Pennsylvania",18718,19213,13978
"Tobyhanna","township","Monroe County","Pennsylvania",8418,8554,6152
"Tunkhannock","township","Monroe County","Pennsylvania",6677,6789,4983
"Abington","township","Montgomery County","Pennsylvania",55590,55310,56103
"Cheltenham","township","Montgomery County","Pennsylvania",37014,36793,36875
"Douglass","township","Montgomery County","Pennsylvania",10432,10195,9104
"East Norriton","township","Montgomery County","Pennsylvania",14082,13590,13211
"Franconia","township","Montgomery County","Pennsylvania",13241,13064,11523
"Hatfield","township","Montgomery County","Pennsylvania",17558,17249,16712
"Horsham","township","Montgomery County","Pennsylvania",26587,26147,24232
"Limerick","township","Montgomery County","Pennsylvania",18798,18074,13534
"Lower Frederick","township","Montgomery County","Pennsylvania",4892,4840,4795
"Lower Gwynedd","township","Montgomery County","Pennsylvania",11548,11405,10422
"Lower Merion","township","Montgomery County","Pennsylvania",58177,57825,59850
"Lower Moreland","township","Montgomery County","Pennsylvania",13220,12982,11281
"Lower Pottsgrove","township","Montgomery County","Pennsylvania",12174,12059,11213
"Lower Providence","township","Montgomery County","Pennsylvania",26187,25436,22390
"Lower Salford","township","Montgomery County","Pennsylvania",15344,14959,12893
"Marlborough","township","Montgomery County","Pennsylvania",3308,3178,3104
"Montgomery","township","Montgomery County","Pennsylvania",26025,24790,22025
"New Hanover","township","Montgomery County","Pennsylvania",12495,10939,7369
"Perkiomen","township","Montgomery County","Pennsylvania",9245,9139,7093
"Plymouth","township","Montgomery County","Pennsylvania",17653,16525,16045
"Salford","township","Montgomery County","Pennsylvania",2954,2504,2363
"Skippack","township","Montgomery County","Pennsylvania",14992,13715,6516
"Springfield","township","Montgomery County","Pennsylvania",19574,19418,19533
"Towamencin","township","Montgomery County","Pennsylvania",18272,17578,17597
"Upper Dublin","township","Montgomery County","Pennsylvania",26211,25569,25878
"Upper Frederick","township","Montgomery County","Pennsylvania",3564,3523,3141
"Upper Gwynedd","township","Montgomery County","Pennsylvania",15928,15552,14243
"Upper Hanover","township","Montgomery County","Pennsylvania",7287,6464,4885
"Upper Merion","township","Montgomery County","Pennsylvania",28620,28395,26863
"Upper Moreland","township","Montgomery County","Pennsylvania",24231,24015,24993
"Upper Pottsgrove","township","Montgomery County","Pennsylvania",5483,5315,4102
"Upper Providence","township","Montgomery County","Pennsylvania",23460,21219,15398
"Upper Salford","township","Montgomery County","Pennsylvania",3378,3299,3024
"West Norriton","township","Montgomery County","Pennsylvania",15779,15663,14901
"West Pottsgrove","township","Montgomery County","Pennsylvania",3884,3874,3815
"Whitemarsh","township","Montgomery County","Pennsylvania",17663,17349,16702
"Whitpain","township","Montgomery County","Pennsylvania",19180,18875,18562
"Worcester","township","Montgomery County","Pennsylvania",10435,9750,7789
"Anthony","township","Montour County","Pennsylvania",1549,1501,1388
"Cooper","township","Montour County","Pennsylvania",951,932,966
"Derry","township","Montour County","Pennsylvania",1135,1130,1215
"Liberty","township","Montour County","Pennsylvania",1631,1584,1476
"Limestone","township","Montour County","Pennsylvania",1119,1066,1004
"Mahoning","township","Montour County","Pennsylvania",4260,4171,4263
"Mayberry","township","Montour County","Pennsylvania",257,250,244
"Valley","township","Montour County","Pennsylvania",2183,2158,2093
"West Hemlock","township","Montour County","Pennsylvania",505,503,489
"Allen","township","Northampton County","Pennsylvania",4803,4269,2630
"Bethlehem","township","Northampton County","Pennsylvania",23862,23730,21171
"Bushkill","township","Northampton County","Pennsylvania",8390,8178,6982
"East Allen","township","Northampton County","Pennsylvania",4847,4903,4903
"Forks","township","Northampton County","Pennsylvania",15294,14721,8419
"Hanover","township","Northampton County","Pennsylvania",11508,10866,9563
"Lehigh","township","Northampton County","Pennsylvania",10376,10526,9728
"Lower Mount Bethel","township","Northampton County","Pennsylvania",3071,3101,3228
"Lower Nazareth","township","Northampton County","Pennsylvania",6006,5674,5259
"Lower Saucon","township","Northampton County","Pennsylvania",10767,10772,9884
"Moore","township","Northampton County","Pennsylvania",9231,9198,8673
"Palmer","township","Northampton County","Pennsylvania",21348,20691,16809
"Plainfield","township","Northampton County","Pennsylvania",6134,6138,5668
"Upper Mount Bethel","township","Northampton County","Pennsylvania",6851,6706,6063
"Upper Nazareth","township","Northampton County","Pennsylvania",6700,6231,4426
"Washington","township","Northampton County","Pennsylvania",5172,5122,4152
"Williams","township","Northampton County","Pennsylvania",6013,5884,4470
"Coal","township","Northumberland County","Pennsylvania",10460,10383,10628
"Delaware","township","Northumberland County","Pennsylvania",4455,4489,4341
"East Cameron","township","Northumberland County","Pennsylvania",739,748,686
"East Chillisquaque","township","Northumberland County","Pennsylvania",653,668,664
"Jackson","township","Northumberland County","Pennsylvania",881,875,928
"Jordan","township","Northumberland County","Pennsylvania",782,794,761
"Lewis","township","Northumberland County","Pennsylvania",1927,1915,1862
"Little Mahanoy","township","Northumberland County","Pennsylvania",463,479,435
"Lower Augusta","township","Northumberland County","Pennsylvania",1046,1064,1079
"Lower Mahanoy","township","Northumberland County","Pennsylvania",1682,1709,1586
"Mount Carmel","township","Northumberland County","Pennsylvania",3069,3139,2701
"Point","township","Northumberland County","Pennsylvania",3694,3685,3722
"Ralpho","township","Northumberland County","Pennsylvania",4303,4321,3764
"Rockefeller","township","Northumberland County","Pennsylvania",2263,2273,2221
"Rush","township","Northumberland County","Pennsylvania",1115,1122,1189
"Shamokin","township","Northumberland County","Pennsylvania",2415,2407,2159
"Turbot","township","Northumberland County","Pennsylvania",1797,1806,1677
"Upper Augusta","township","Northumberland County","Pennsylvania",2562,2586,2556
"Upper Mahanoy","township","Northumberland County","Pennsylvania",782,796,599
"Washington","township","Northumberland County","Pennsylvania",741,746,660
"West Cameron","township","Northumberland County","Pennsylvania",543,541,517
"West Chillisquaque","township","Northumberland County","Pennsylvania",2561,2627,2846
"Zerbe","township","Northumberland County","Pennsylvania",1824,1872,2021
"Buffalo","township","Perry County","Pennsylvania",1214,1219,1128
"Carroll","township","Perry County","Pennsylvania",5231,5269,5095
"Centre","township","Perry County","Pennsylvania",2484,2491,2209
"Greenwood","township","Perry County","Pennsylvania",991,998,1010
"Howe","township","Perry County","Pennsylvania",390,393,493
"Jackson","township","Perry County","Pennsylvania",542,547,525
"Juniata","township","Perry County","Pennsylvania",1405,1412,1359
"Liverpool","township","Perry County","Pennsylvania",1049,1057,966
"Miller","township","Perry County","Pennsylvania",1082,1098,953
"Northeast Madison","township","Perry County","Pennsylvania",786,786,856
"Oliver","township","Perry County","Pennsylvania",1928,1931,2061
"Penn","township","Perry County","Pennsylvania",3191,3225,3013
"Rye","township","Perry County","Pennsylvania",2328,2364,2327
"Saville","township","Perry County","Pennsylvania",2492,2502,2204
"Southwest Madison","township","Perry County","Pennsylvania",989,999,856
"Spring","township","Perry County","Pennsylvania",2209,2208,2021
"Toboyne","township","Perry County","Pennsylvania",440,443,494
"Tuscarora","township","Perry County","Pennsylvania",1185,1189,1122
"Tyrone","township","Perry County","Pennsylvania",2112,2124,1863
"Watts","township","Perry County","Pennsylvania",1259,1265,1196
"Wheatfield","township","Perry County","Pennsylvania",3294,3334,3329
"Blooming Grove","township","Pike County","Pennsylvania",4690,4819,3621
"Delaware","township","Pike County","Pennsylvania",7186,7396,6319
"Dingman","township","Pike County","Pennsylvania",11641,11926,8788
"Greene","township","Pike County","Pennsylvania",3840,3956,3149
"Lackawaxen","township","Pike County","Pennsylvania",5033,4994,4154
"Lehman","township","Pike County","Pennsylvania",10380,10663,7515
"Milford","township","Pike County","Pennsylvania",1485,1530,1292
"Palmyra","township","Pike County","Pennsylvania",3248,3312,3145
"Porter","township","Pike County","Pennsylvania",470,485,385
"Shohola","township","Pike County","Pennsylvania",2354,2475,2088
"Westfall","township","Pike County","Pennsylvania",2259,2323,2430
"Abbott","township","Potter County","Pennsylvania",236,242,226
"Allegany","township","Potter County","Pennsylvania",411,422,402
"Bingham","township","Potter County","Pennsylvania",682,684,687
"Clara","township","Potter County","Pennsylvania",195,199,168
"Eulalia","township","Potter County","Pennsylvania",878,889,941
"Genesee","township","Potter County","Pennsylvania",782,799,789
"Harrison","township","Potter County","Pennsylvania",1015,1037,1093
"Hebron","township","Potter County","Pennsylvania",582,589,622
"Hector","township","Potter County","Pennsylvania",379,386,453
"Homer","township","Potter County","Pennsylvania",420,437,390
"Keating","township","Potter County","Pennsylvania",305,312,307
"Oswayo","township","Potter County","Pennsylvania",272,278,251
"Pike","township","Potter County","Pennsylvania",321,324,292
"Pleasant Valley","township","Potter County","Pennsylvania",85,86,80
"Portage","township","Potter County","Pennsylvania",222,228,223
"Roulette","township","Potter County","Pennsylvania",1166,1197,1348
"Sharon","township","Potter County","Pennsylvania",849,866,907
"Stewardson","township","Potter County","Pennsylvania",72,74,74
"Summit","township","Potter County","Pennsylvania",184,188,112
"Sweden","township","Potter County","Pennsylvania",856,872,775
"Sylvania","township","Potter County","Pennsylvania",75,77,61
"Ulysses","township","Potter County","Pennsylvania",629,635,691
"West Branch","township","Potter County","Pennsylvania",391,393,392
"Wharton","township","Potter County","Pennsylvania",97,99,91
"Barry","township","Schuylkill County","Pennsylvania",906,932,967
"Blythe","township","Schuylkill County","Pennsylvania",904,924,905
"Branch","township","Schuylkill County","Pennsylvania",1785,1840,1871
"Butler","township","Schuylkill County","Pennsylvania",4962,5224,3588
"Cass","township","Schuylkill County","Pennsylvania",1909,1958,2383
"Delano","township","Schuylkill County","Pennsylvania",427,445,487
"East Brunswick","township","Schuylkill County","Pennsylvania",1745,1793,1601
"East Norwegian","township","Schuylkill County","Pennsylvania",836,863,864
"East Union","township","Schuylkill County","Pennsylvania",1594,1605,1419
"Eldred","township","Schuylkill County","Pennsylvania",741,758,719
"Foster","township","Schuylkill County","Pennsylvania",253,251,1124
"Frailey","township","Schuylkill County","Pennsylvania",414,429,416
"Hegins","township","Schuylkill County","Pennsylvania",3467,3516,3519
"Hubley","township","Schuylkill County","Pennsylvania",844,854,889
"Kline","township","Schuylkill County","Pennsylvania",1395,1438,1591
"Mahanoy","township","Schuylkill County","Pennsylvania",3314,3152,1112
"New Castle","township","Schuylkill County","Pennsylvania",394,414,395
"North Manheim","township","Schuylkill County","Pennsylvania",3711,3770,3287
"North Union","township","Schuylkill County","Pennsylvania",1439,1476,1225
"Norwegian","township","Schuylkill County","Pennsylvania",2259,2310,2172
"Pine Grove","township","Schuylkill County","Pennsylvania",4068,4123,3930
"Porter","township","Schuylkill County","Pennsylvania",2114,2176,2032
"Reilly","township","Schuylkill County","Pennsylvania",704,726,802
"Rush","township","Schuylkill County","Pennsylvania",3327,3412,3957
"Ryan","township","Schuylkill County","Pennsylvania",2527,2459,1451
"Schuylkill","township","Schuylkill County","Pennsylvania",1090,1129,1123
"South Manheim","township","Schuylkill County","Pennsylvania",2513,2507,2191
"Tremont","township","Schuylkill County","Pennsylvania",273,280,250
"Union","township","Schuylkill County","Pennsylvania",1238,1273,1308
"Upper Mahantongo","township","Schuylkill County","Pennsylvania",635,655,652
"Walker","township","Schuylkill County","Pennsylvania",1024,1054,936
"Washington","township","Schuylkill County","Pennsylvania",2955,3033,2750
"Wayne","township","Schuylkill County","Pennsylvania",5070,5113,4721
"West Brunswick","township","Schuylkill County","Pennsylvania",3266,3327,3428
"West Mahanoy","township","Schuylkill County","Pennsylvania",2779,2872,6166
"West Penn","township","Schuylkill County","Pennsylvania",4346,4442,3852
"Adams","township","Snyder County","Pennsylvania",919,907,852
"Beaver","township","Snyder County","Pennsylvania",529,525,527
"Center","township","Snyder County","Pennsylvania",2468,2458,2162
"Chapman","township","Snyder County","Pennsylvania",1602,1554,1426
"Franklin","township","Snyder County","Pennsylvania",2279,2259,2094
"Jackson","township","Snyder County","Pennsylvania",1435,1382,1276
"Middlecreek","township","Snyder County","Pennsylvania",2154,2114,1971
"Monroe","township","Snyder County","Pennsylvania",4084,3895,4012
"Penn","township","Snyder County","Pennsylvania",4386,4324,3781
"Perry","township","Snyder County","Pennsylvania",2224,2183,1973
"Spring","township","Snyder County","Pennsylvania",1631,1616,1563
"Union","township","Snyder County","Pennsylvania",1540,1520,1519
"Washington","township","Snyder County","Pennsylvania",1695,1654,1532
"West Beaver","township","Snyder County","Pennsylvania",1112,1110,1124
"West Perry","township","Snyder County","Pennsylvania",1084,1071,1038
"Addison","township","Somerset County","Pennsylvania",942,974,1019
"Allegheny","township","Somerset County","Pennsylvania",680,692,654
"Black","township","Somerset County","Pennsylvania",892,926,980
"Brothersvalley","township","Somerset County","Pennsylvania",2338,2398,4184
"Conemaugh","township","Somerset County","Pennsylvania",7017,7279,7452
"Elk Lick","township","Somerset County","Pennsylvania",2159,2241,2293
"Fairhope","township","Somerset County","Pennsylvania",130,134,137
"Greenville","township","Somerset County","Pennsylvania",650,668,718
"Jefferson","township","Somerset County","Pennsylvania",1375,1423,1375
"Jenner","township","Somerset County","Pennsylvania",3952,4122,4054
"Larimer","township","Somerset County","Pennsylvania",575,595,590
"Lincoln","township","Somerset County","Pennsylvania",1478,1519,1669
"Lower Turkeyfoot","township","Somerset County","Pennsylvania",582,603,672
"Middlecreek","township","Somerset County","Pennsylvania",847,875,797
"Milford","township","Somerset County","Pennsylvania",1523,1553,1561
"Northampton","township","Somerset County","Pennsylvania",331,343,366
"Ogle","township","Somerset County","Pennsylvania",482,501,588
"Paint","township","Somerset County","Pennsylvania",3097,3149,3300
"Quemahoning","township","Somerset County","Pennsylvania",1964,2025,2180
"Shade","township","Somerset County","Pennsylvania",2658,2774,2886
"Somerset","township","Somerset County","Pennsylvania",12229,12122,9319
"Southampton","township","Somerset County","Pennsylvania",617,630,655
"Stonycreek","township","Somerset County","Pennsylvania",2156,2237,2221
"Summit","township","Somerset County","Pennsylvania",2198,2271,2368
"Upper Turkeyfoot","township","Somerset County","Pennsylvania",1081,1119,1232
"Cherry","township","Sullivan County","Pennsylvania",1674,1705,1718
"Colley","township","Sullivan County","Pennsylvania",696,694,647
"Davidson","township","Sullivan County","Pennsylvania",557,573,626
"Elkland","township","Sullivan County","Pennsylvania",562,577,607
"Forks","township","Sullivan County","Pennsylvania",374,377,407
"Fox","township","Sullivan County","Pennsylvania",348,358,332
"Hillsgrove","township","Sullivan County","Pennsylvania",286,287,265
"Laporte","township","Sullivan County","Pennsylvania",354,349,373
"Shrewsbury","township","Sullivan County","Pennsylvania",316,319,328
"Apolacon","township","Susquehanna County","Pennsylvania",494,500,507
"Ararat","township","Susquehanna County","Pennsylvania",542,563,531
"Auburn","township","Susquehanna County","Pennsylvania",1881,1939,1816
"Bridgewater","township","Susquehanna County","Pennsylvania",2802,2844,2668
"Brooklyn","township","Susquehanna County","Pennsylvania",928,963,889
"Choconut","township","Susquehanna County","Pennsylvania",682,713,797
"Clifford","township","Susquehanna County","Pennsylvania",2349,2408,2381
"Dimock","township","Susquehanna County","Pennsylvania",1449,1497,1398
"Forest Lake","township","Susquehanna County","Pennsylvania",1137,1193,1194
"Franklin","township","Susquehanna County","Pennsylvania",901,937,938
"Gibson","township","Susquehanna County","Pennsylvania",1199,1221,1129
"Great Bend","township","Susquehanna County","Pennsylvania",1866,1949,1890
"Harford","township","Susquehanna County","Pennsylvania",1374,1430,1301
"Harmony","township","Susquehanna County","Pennsylvania",503,528,558
"Herrick","township","Susquehanna County","Pennsylvania",701,713,599
"Jackson","township","Susquehanna County","Pennsylvania",808,848,788
"Jessup","township","Susquehanna County","Pennsylvania",518,536,564
"Lathrop","township","Susquehanna County","Pennsylvania",808,841,835
"Lenox","township","Susquehanna County","Pennsylvania",1859,1934,1832
"Liberty","township","Susquehanna County","Pennsylvania",1233,1292,1266
"Middletown","township","Susquehanna County","Pennsylvania",360,382,340
"New Milford","township","Susquehanna County","Pennsylvania",1945,2042,1859
"Oakland","township","Susquehanna County","Pennsylvania",531,564,550
"Rush","township","Susquehanna County","Pennsylvania",1226,1267,1290
"Silver Lake","township","Susquehanna County","Pennsylvania",1651,1716,1729
"Springville","township","Susquehanna County","Pennsylvania",1560,1641,1555
"Thompson","township","Susquehanna County","Pennsylvania",397,410,440
"Bloss","township","Tioga County","Pennsylvania",343,353,354
"Brookfield","township","Tioga County","Pennsylvania",412,421,443
"Charleston","township","Tioga County","Pennsylvania",3465,3360,3233
"Chatham","township","Tioga County","Pennsylvania",588,588,587
"Clymer","township","Tioga County","Pennsylvania",574,581,597
"Covington","township","Tioga County","Pennsylvania",1028,1022,1047
"Deerfield","township","Tioga County","Pennsylvania",661,662,659
"Delmar","township","Tioga County","Pennsylvania",2860,2856,2893
"Duncan","township","Tioga County","Pennsylvania",210,208,213
"Elk","township","Tioga County","Pennsylvania",49,49,51
"Farmington","township","Tioga County","Pennsylvania",670,637,636
