"Brownington town","Orleans County","Vermont",969,988,885,705,708,522,599,673,689,697,741,760,748,799,854,901,761,613,486,412,265,236,65
"Charleston town","Orleans County","Vermont",1001,1023,895,844,851,654,668,764,834,895,921,993,1025,1058,1204,1278,1160,1009,731,564,90,56,0
"Coventry town","Orleans County","Vermont",1059,1086,1014,806,674,492,458,497,549,610,668,616,728,879,911,914,914,857,786,728,282,178,7
"Craftsbury town","Orleans County","Vermont",1179,1206,1136,994,844,632,674,709,875,976,1042,1119,1251,1271,1381,1330,1413,1223,1151,982,605,566,229
"Derby town","Orleans County","Vermont",4502,4621,4604,4479,4222,3252,2506,2245,2118,2135,2201,2330,2361,2900,1957,2039,1908,1759,1681,1469,925,714,178
"Glover town","Orleans County","Vermont",1099,1122,966,820,843,649,683,727,788,860,826,932,891,970,1055,1178,1244,1137,1119,902,549,368,35
"Greensboro town","Orleans County","Vermont",746,762,770,717,677,593,600,737,768,831,906,931,874,918,1061,1027,1065,1008,883,784,625,566,280
"Holland town","Orleans County","Vermont",617,629,588,423,473,383,376,406,533,560,714,722,838,878,913,881,748,669,605,422,100,126,0
"Irasburg town","Orleans County","Vermont",1138,1163,1077,907,870,775,711,711,852,924,999,983,939,999,1054,1085,1131,1034,971,860,432,392,15
"Jay town","Orleans County","Vermont",552,521,426,381,302,182,197,243,230,274,368,513,530,641,696,553,474,371,306,196,52,28,0
"Lowell town","Orleans County","Vermont",861,879,738,594,573,515,617,643,615,725,1005,1086,983,1178,1067,942,813,637,431,314,144,0,0
"Morgan town","Orleans County","Vermont",742,749,669,497,460,286,260,296,335,363,368,463,510,520,711,614,548,486,422,331,116,135,0
"Newport (city)","Orleans County","Vermont",4473,4589,5005,4434,4756,4664,5019,5217,4902,5094,4976,3657,2787,0,0,0,0,0,0,0,0,0,0
"Newport (town)","Orleans County","Vermont",2034,1594,1511,1367,1319,1125,1010,966,1064,1193,1187,1236,1239,3047,2426,2050,1197,748,591,284,52,28,50
"Troy town","Orleans County","Vermont",1622,1662,1564,1609,1498,1457,1613,1786,1869,1098,1869,1685,1467,1673,1522,1355,1246,1008,855,608,227,231,0
"Westfield town","Orleans County","Vermont",524,536,503,422,418,375,347,358,354,448,490,613,646,763,698,721,618,502,370,353,225,149,16
"Westmore town","Orleans County","Vermont",342,350,306,305,257,195,179,210,224,224,287,331,390,395,480,412,324,152,122,132,0,126,0
"Benson town","Rutland County","Vermont",1037,1056,1039,847,739,583,549,573,572,630,807,813,844,880,1104,1244,1256,1305,1403,1493,1481,1561,1164
"Brandon town","Rutland County","Vermont",3860,3966,3917,4223,4194,3697,3329,3304,2979,2891,2874,2712,2759,3310,3280,3571,3077,2835,2194,1940,1495,1375,1076
"Castleton town","Rutland County","Vermont",4612,4717,4367,4278,3637,2837,1902,1748,1601,1794,1919,1886,2089,2396,2605,3243,2852,3016,1769,1783,1541,1420,1039
"Chittenden town","Rutland County","Vermont",1237,1258,1182,1102,927,646,460,424,379,341,472,563,621,730,1092,802,763,675,644,610,528,446,327
"Clarendon town","Rutland County","Vermont",2504,2571,2811,2835,2372,1537,1091,1102,868,883,826,857,915,928,1105,1173,1237,1477,1549,1585,1712,1797,1789
"Danby town","Rutland County","Vermont",1287,1311,1292,1193,992,910,891,990,1112,1070,1007,1001,964,1084,1202,1319,1419,1535,1479,1362,1607,1730,1487
"Fair Haven town","Rutland County","Vermont",2650,2734,2928,2887,2819,2777,2378,2286,2245,2614,2540,3095,2999,2791,2211,2008,1378,902,633,675,714,645,411
"Hubbardton town","Rutland County","Vermont",693,706,752,576,490,228,238,332,346,307,328,455,488,506,533,606,606,701,719,865,810,734,541
"Ira town","Rutland County","Vermont",428,432,455,426,354,284,220,232,248,287,295,286,350,421,479,413,422,400,451,442,498,519,473
"Killington town","Rutland County","Vermont",795,811,1095,738,891,558,266,283,266,298,336,409,402,451,450,462,525,578,698,432,154,116,90
"Mendon town","Rutland County","Vermont",1038,1059,1028,1049,1056,743,461,334,313,251,264,321,392,570,629,612,633,504,545,432,174,111,39
"Middletown Springs town","Rutland County","Vermont",732,745,823,686,603,426,381,496,493,583,567,716,746,786,823,777,712,875,1057,919,1039,1207,1066
"Mount Holly town","Rutland County","Vermont",1222,1237,1241,1093,938,687,517,567,656,727,856,871,999,1214,1390,1582,1522,1534,1356,1318,1157,922,668
"Mount Tabor town","Rutland County","Vermont",256,255,203,214,211,184,165,186,213,173,168,289,494,436,495,301,358,308,226,210,222,209,153
"Pawlet town","Rutland County","Vermont",1438,1477,1394,1314,1244,1184,1112,1156,1192,1476,1413,1969,1731,1745,1696,1505,1539,1843,1748,1965,2155,2233,1938
"Pittsfield town","Rutland County","Vermont",543,546,427,389,396,249,254,225,259,256,343,402,435,468,555,482,493,512,615,505,453,338,164
"Pittsford town","Rutland County","Vermont",2898,2991,3140,2919,2590,2306,2225,2076,2093,2332,2098,2479,1866,1775,1982,2127,1839,2026,1927,2005,1916,1936,1413
"Poultney town","Rutland County","Vermont",3340,3432,3633,3498,3196,3217,3009,2936,2781,3215,2868,3644,3108,3031,2717,2836,2278,2329,1878,1909,1956,1904,1694
"Proctor town","Rutland County","Vermont",1677,1741,1877,1979,1998,2095,2102,1917,2292,2596,2789,2871,2136,1758,0,0,0,0,0,0,0,0,0
"Rutland (city)","Rutland County","Vermont",15942,16495,17292,18230,18436,19293,18325,17659,17082,17318,14954,13546,11499,0,0,0,0,0,0,0,0,0,0
"Rutland (town)","Rutland County","Vermont",4019,4054,4038,3781,3300,2248,1542,1416,1350,1387,1270,1311,1109,11760,12149,9834,7577,3715,2708,2753,2369,2379,2125
"Shrewsbury town","Rutland County","Vermont",1033,1056,1108,1107,866,570,445,464,537,540,620,751,935,974,1235,1145,1175,1268,1218,1289,1151,990,748
"Sudbury town","Rutland County","Vermont",548,560,583,516,380,253,249,263,321,361,417,415,474,502,562,601,696,794,796,812,809,754,521
"Tinmouth town","Rutland County","Vermont",614,613,567,455,406,268,228,248,346,340,349,410,404,435,532,569,620,717,780,1049,1069,1001,973
"Wallingford town","Rutland County","Vermont",2041,2079,2274,2184,1893,1676,1439,1482,1450,1564,1581,1719,1575,1733,1846,2023,1747,1688,1608,1740,1570,1386,912
"Wells town","Rutland County","Vermont",1137,1150,1121,902,815,560,419,487,420,515,521,569,606,621,665,483,642,804,740,880,986,1040,978
