"Cheyenne","Roger Mills County","Oklahoma",818,801,778,948,1207,892,930,1133,1070,826,400,468,0,0
"Chickasha","Grady County","Oklahoma",16334,16036,15850,14988,15828,14194,14866,15842,14111,14099,10179,10320,3209,0
"Choctaw","Oklahoma County","Oklahoma",11992,11146,9377,8545,7520,4750,623,355,289,242,199,242,0,0
"Chouteau","Mayes County","Oklahoma",2085,2097,1931,1771,1559,1046,958,658,400,430,541,483,0,0
"Cimarron City","Logan County","Oklahoma",162,150,110,71,0,0,0,0,0,0,0,0,0,0
"Claremore","Rogers County","Oklahoma",18971,18581,15873,13280,12085,9084,6639,5494,4134,3720,3435,2866,855,0
"Clayton","Pushmataha County","Oklahoma",790,821,719,636,833,718,615,612,0,0,0,0,0,0
"Clearview","Okfuskee County","Oklahoma",48,48,56,47,0,0,0,0,0,0,0,0,0,0
"Cleo Springs","Major County","Oklahoma",349,338,326,359,514,344,236,310,386,356,377,425,0,0
"Cleveland","Pawnee County","Oklahoma",3212,3251,3282,3156,2972,2573,2519,2464,2510,2959,2717,1310,211,0
"Clinton","Custer County","Oklahoma",9505,9033,8833,9298,8796,8513,9617,7555,6736,7512,2596,2781,0,0
"Coalgate","Coal County","Oklahoma",1920,1967,2005,1895,2001,1859,1689,1984,2118,2064,3009,3255,2614,0
"Colbert","Bryan County","Oklahoma",1177,1140,1065,1043,1122,814,671,748,602,0,0,0,0,0
"Colcord","Delaware County","Oklahoma",816,815,819,628,530,438,173,0,0,0,0,0,0,0
"Cole","McClain County","Oklahoma",568,555,473,355,309,131,0,0,0,0,0,0,0,0
"Collinsville","Tulsa County","Oklahoma",6334,5606,4077,3612,3556,3009,2526,2011,1927,2249,3801,1324,376,0
"Colony","Washita County","Oklahoma",136,136,147,163,185,201,0,0,0,0,0,0,0,0
"Comanche","Stephens County","Oklahoma",1627,1663,1556,1695,1937,1862,2082,2083,1533,1704,1427,1301,547,0
"Commerce","Ottawa County","Oklahoma",2492,2473,2645,2426,2556,2593,2378,2442,2422,2008,2555,0,0,0
"Cooperton","Kiowa County","Oklahoma",16,16,20,15,31,55,106,129,187,151,105,100,0,0
"Copan","Washington County","Oklahoma",741,733,796,809,960,675,617,459,549,521,430,307,0,0
"Corn","Washita County","Oklahoma",501,503,591,548,542,409,317,0,0,0,0,0,0,0
"Cornish","Jefferson County","Oklahoma",158,163,172,164,115,90,127,152,234,186,261,489,307,0
"Council Hill","Muskogee County","Oklahoma",156,158,129,139,141,135,130,166,171,196,206,0,0,0
"Covington","Garfield County","Oklahoma",550,527,553,590,715,605,687,769,780,927,1283,183,0,0
"Coweta","Wagoner County","Oklahoma",9511,9943,7139,6159,4554,2457,1858,1601,1455,1274,1318,1187,0,0
"Cowlington","Le Flore County","Oklahoma",151,155,133,756,546,751,74,83,224,265,344,378,272,0
"Coyle","Logan County","Oklahoma",352,325,337,289,345,303,292,360,440,421,408,413,0,0
"Crescent","Logan County","Oklahoma",1508,1411,1281,1236,1651,1568,1264,1341,1301,1190,878,903,139,0
"Cromwell","Seminole County","Oklahoma",286,286,265,268,337,287,269,313,451,249,0,0,0,0
"Crowder","Pittsburg County","Oklahoma",413,430,436,339,431,339,254,267,378,340,581,529,0,0
"Cushing","Payne County","Oklahoma",7868,7826,8371,7218,7720,7529,8619,8414,7703,9301,6326,1072,226,0
"Custer City","Custer County","Oklahoma",396,375,393,443,530,486,448,479,641,698,671,854,0,0
"Cyril","Caddo County","Oklahoma",1045,1059,1168,1072,1220,1302,1284,998,972,922,386,0,0,0
