"Moriarty","Torrance County","New Mexico",1821,1910,1765,1399,1276,758,720,0,0,0,0,0,0,0,0,0,0,0
"Mosquero","Harding County","New Mexico",91,93,120,164,197,244,310,583,742,401,0,0,0,0,0,0,0,0
"Mountainair","Torrance County","New Mexico",885,928,1116,926,1170,1022,1605,1418,1477,1027,577,0,0,0,0,0,0,0
"Pecos","San Miguel County","New Mexico",1336,1392,1441,1012,885,598,584,0,0,0,0,0,0,0,241,0,0,0
"Peralta","? County","New Mexico",3597,3660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portales","Roosevelt County","New Mexico",12233,12280,11131,10690,9940,10554,9695,8112,5104,2519,1154,1292,0,0,0,0,0,0
"Questa","Taos County","New Mexico",1769,1770,1864,1707,1202,1095,0,0,0,0,0,0,0,0,0,0,0,0
"Raton","Colfax County","New Mexico",6326,6885,7282,7372,8225,6962,8146,8241,7607,6090,5544,4539,3540,1255,0,0,0,0
"Red River","Taos County","New Mexico",480,477,484,387,332,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reserve","Catron County","New Mexico",279,289,387,319,439,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio Rancho","Sandoval County","New Mexico",93820,87521,51765,32505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roswell","Chaves County","New Mexico",48608,48366,45293,44654,39676,33908,39593,25738,13482,11173,7033,6172,2049,0,0,0,0,0
"Roy","Harding County","New Mexico",230,234,304,362,381,476,633,1074,1138,713,564,0,0,0,0,0,0,0
"Ruidoso","Lincoln County","New Mexico",7824,8029,7698,4600,4260,2216,1557,806,0,0,0,0,0,0,0,0,0,0
"Ruidoso Downs","Lincoln County","New Mexico",2635,2815,1824,920,949,702,407,363,0,0,0,0,0,0,0,0,0,0
"San Jon","Quay County","New Mexico",204,216,306,277,341,308,411,362,0,0,0,0,0,0,0,0,0,0
"Santa Clara","? County","New Mexico",1665,1686,1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santa Fe","Santa Fe County","New Mexico",70297,67947,62203,55859,49160,41167,34676,27998,20325,11176,7236,5072,5603,6185,6635,4765,4635,4539
"Santa Rosa","Guadalupe County","New Mexico",2729,2848,2744,2263,2469,2485,2220,2199,2310,1127,1093,0,0,0,0,0,0,0
"San Ysidro","Sandoval County","New Mexico",194,193,238,233,199,182,0,0,0,0,0,0,0,0,0,0,0,0
"Silver City","Grant County","New Mexico",10172,10315,10545,10683,9887,8557,6972,7022,5044,3519,2662,3217,2735,2102,1800,0,0,0
"Socorro","Socorro County","New Mexico",8751,9051,8877,8159,7173,5849,5271,4334,3712,2058,1256,1560,1512,2295,1272,0,0,0
"Springer","Colfax County","New Mexico",963,1047,1285,1262,1657,1574,1564,1558,1314,957,915,550,0,0,0,0,0,0
"Sunland Park","Dona Ana County","New Mexico",15400,14106,13309,8179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taos","Taos County","New Mexico",5766,5716,4700,4065,3369,2475,2163,1815,965,0,0,0,0,0,0,0,0,0
"Taos Ski Valley","? County","New Mexico",69,69,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tatum","Lea County","New Mexico",859,798,683,768,896,982,1168,688,0,0,0,0,0,0,0,0,0,0
"Texico","Curry County","New Mexico",1137,1130,1065,966,958,772,889,691,478,569,381,409,0,0,0,0,0,0
"Tijeras","Bernalillo County","New Mexico",545,541,474,340,311,0,0,0,0,0,0,0,0,0,0,0,0,0
"Truth or Consequences","Sierra County","New Mexico",6103,6475,7289,6221,5219,4656,4269,4563,2940,1336,455,0,0,0,0,0,0,0
"Tucumcari","Quay County","New Mexico",5051,5363,5989,6831,6765,7189,8143,8419,6194,4143,3117,2526,0,0,0,0,0,0
"Tularosa","Otero County","New Mexico",2894,2842,2864,2615,2536,2851,3200,1642,1446,1406,1096,0,0,0,549,0,0,0
"Vaughn","Guadalupe County","New Mexico",423,446,539,633,737,867,1170,1356,1331,968,888,0,0,0,0,0,0,0
"Virden","Hidalgo County","New Mexico",141,152,143,108,246,151,135,146,206,196,0,0,0,0,0,0,0,0
"Wagon Mound","Mora County","New Mexico",296,314,369,319,416,630,760,1120,979,852,875,0,0,0,0,0,0,0
"Willard","Torrance County","New Mexico",242,253,240,183,166,209,294,296,462,482,421,0,0,0,0,0,0,0
"Williamsburg","Sierra County","New Mexico",427,449,527,456,433,367,0,0,0,0,0,0,0,0,0,0,0,0
