"Clarks Hill","Tippecanoe County","Indiana",665,611,680,716,653,741,654,493,381,428,435,463,539,0,0,0,0,0,0,0
"Clarksville","Clark County","Indiana",21879,21724,21400,19833,15164,13298,8088,5905,2386,2243,2322,2743,2370,1692,1037,0,0,0,0,0
"Clay","Clay County","Indiana",843,861,1019,929,883,900,950,1068,1117,1079,1226,1213,1503,1004,419,0,0,0,0,0
"Claypool","Kosciusko County","Indiana",432,431,311,411,464,468,452,416,423,382,356,408,399,0,0,0,0,0,0,0
"Clayton","Hendricks County","Indiana",1001,972,693,610,703,736,653,598,558,561,493,497,0,0,145,0,0,0,0,0
"Clear Lake","Steuben County","Indiana",341,339,244,272,301,271,147,151,65,0,0,0,0,0,0,0,0,0,0,0
"Clermont","Marion County","Indiana",1402,1356,1477,1678,1671,1423,1058,824,465,448,240,205,0,0,215,0,0,0,0,0
"Clifford","Bartholomew County","Indiana",232,233,291,308,310,275,241,232,188,179,185,210,233,175,134,0,0,0,0,0
"Coatesville","Hendricks County","Indiana",542,523,516,469,474,453,497,444,377,434,522,472,0,0,499,0,0,0,0,0
"Colfax","Clinton County","Indiana",683,691,768,727,823,633,725,725,717,690,793,801,767,730,638,187,0,0,0,0
"Columbia City","Whitley County","Indiana",8829,8750,7077,5706,5091,4911,4803,4745,4219,3805,3499,3448,2975,3027,2244,1663,887,0,0,0
"Converse","Miami County","Indiana",1234,1265,1137,1144,1279,1163,1044,979,943,931,1049,1164,1415,921,732,0,0,0,0,0
"Corunna","De Kalb County","Indiana",254,254,254,241,304,359,361,338,278,268,272,318,0,0,276,242,0,0,0,0
"Country Club Heights","Madison County","Indiana",78,79,91,112,97,118,83,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crandall","Harrison County","Indiana",151,152,131,147,176,188,166,149,146,132,133,133,137,0,0,0,0,0,0,0
"Crane","Martin County","Indiana",183,184,203,216,297,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cromwell","Noble County","Indiana",504,512,452,520,458,475,451,449,399,371,420,520,0,0,350,0,0,0,0,0
"Crothersville","Jackson County","Indiana",1599,1591,1570,1687,1747,1663,1449,1276,1169,979,1131,1038,765,599,435,0,0,0,0,0
"Crown Point","Lake County","Indiana",28623,27317,19806,17728,16455,10931,8443,5839,4643,4046,3232,2526,2336,1907,1708,0,0,0,0,0
"Crows Nest","Marion County","Indiana",75,73,96,114,106,100,122,86,112,79,0,0,0,0,0,0,0,0,0,0
"Culver","Marshall County","Indiana",1392,1353,1539,1404,1601,1783,1558,1563,1605,1502,1080,810,505,0,0,0,0,0,0,0
"Cumberland","Marion/Hancock County","Indiana",5389,5169,5500,4557,3375,1478,872,0,0,0,0,0,0,0,299,0,0,0,0,0
"Cynthiana","Posey County","Indiana",539,545,693,669,874,793,663,591,535,556,568,610,502,0,313,0,0,0,0,0
"Dale","Spencer County","Indiana",1556,1593,1568,1553,1693,1113,900,850,763,770,688,583,624,659,318,0,0,0,0,0
"Daleville","Delaware County","Indiana",1615,1647,1658,1681,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0
"Dana","Vermillion County","Indiana",581,608,662,612,803,720,811,854,845,859,884,748,893,495,183,0,0,0,0,0
"Darlington","Montgomery County","Indiana",839,843,854,740,811,802,668,711,683,690,823,780,727,461,468,0,0,0,0,0
"Darmstadt","Vanderburgh County","Indiana",1456,1407,1313,1346,1280,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0
"Dayton","Tippecanoe County","Indiana",1550,1420,1120,996,781,0,0,0,0,0,0,0,0,0,376,385,0,0,0,0
"Decker","Knox County","Indiana",246,249,283,281,256,268,317,386,466,468,0,0,0,0,0,0,0,0,0,0
"De Motte","Jasper County","Indiana",3978,3814,3234,2482,2559,1697,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Denver","Miami County","Indiana",469,482,541,504,589,566,565,528,483,472,522,0,0,0,273,0,0,0,0,0
"Dillsboro","Dearborn County","Indiana",1321,1327,1436,1200,1038,840,745,681,558,502,471,425,465,439,432,0,0,0,0,0
"Dugger","Sullivan County","Indiana",902,920,955,936,1118,1150,1062,1204,1406,1383,1679,1226,0,0,0,0,0,0,0,0
"Dune Acres","Porter County","Indiana",186,182,213,263,291,301,238,86,46,12,0,0,0,0,0,0,0,0,0,0
"Dunkirk","Jay County","Indiana",2348,2362,2646,2739,3180,3465,3117,3048,2942,2583,2532,3031,3187,1024,662,0,0,0,0,0
"Dunreith","Henry County","Indiana",174,177,184,205,184,200,236,196,187,160,184,181,205,168,149,0,0,0,0,0
"Dupont","Jefferson County","Indiana",339,339,392,391,392,357,0,0,0,0,0,0,0,0,192,0,0,0,0,0
"Dyer","Lake County","Indiana",16169,16390,13895,10923,9555,4906,3993,1556,976,672,479,545,0,0,0,0,0,0,0,0
"Earl Park","Benton County","Indiana",336,348,485,443,469,478,551,488,507,501,542,609,563,0,0,0,0,0,0,0
"East Chicago","Lake County","Indiana",28990,29698,32414,33892,39786,46982,57669,54263,54637,54784,35967,19098,3411,1255,0,0,0,0,0,0
"East Germantown","Wayne County","Indiana",379,410,243,372,438,447,367,389,305,291,267,302,305,338,451,536,465,0,0,0
"Eaton","Delaware County","Indiana",1758,1805,1603,1614,1804,1594,1529,1598,1453,1273,1214,1428,1567,0,208,0,0,0,0,0
"Economy","Wayne County","Indiana",182,187,200,151,237,285,280,285,251,212,0,0,0,0,249,0,0,0,0,0
"Edgewood","Madison County","Indiana",1885,1913,1988,2057,2215,2326,2119,796,229,0,0,0,0,0,0,0,0,0,0,0
"Edinburgh","Johnson County","Indiana",4533,4480,4505,4536,4856,5079,3664,3283,2466,2209,2376,2040,1820,2031,1814,1799,1100,0,0,0
"Edwardsport","Knox County","Indiana",300,303,363,380,459,482,533,0,0,0,0,0,0,670,777,0,0,0,0,0
"Elberfeld","Warrick County","Indiana",643,625,636,635,640,834,485,499,520,546,473,438,0,0,0,0,0,0,0,0
"Elizabeth","Harrison County","Indiana",160,162,137,153,178,195,214,211,209,178,193,238,271,267,282,216,0,0,0,0
"Elizabethtown","Bartholomew County","Indiana",518,504,391,495,603,519,417,323,319,294,313,350,407,430,391,204,200,0,0,0
