"Benson","Woodford County","Illinois",428,423,408,410,460,490,427,387,358,334,414,362,367,338,287,0,0,0,0
"Bentley","Hancock County","Illinois",34,35,43,36,49,94,89,88,89,113,136,89,138,144,117,0,0,0,0
"Benton","Franklin County","Illinois",7016,7087,6880,7216,7778,6833,7023,7848,7372,8219,7201,2675,1341,939,984,615,380,0,0
"Berkeley","Cook County","Illinois",5230,5209,5245,5137,5467,6152,5792,1882,724,779,0,0,0,0,0,0,0,0,0
"Berlin","Sangamon County","Illinois",180,180,140,180,210,175,197,218,215,222,241,251,256,260,287,0,0,0,0
"Berwyn","Cook County","Illinois",56693,56657,54016,45426,46849,52502,54224,51280,48451,47027,14150,5841,0,0,0,0,0,0,0
"Bethalto","Madison County","Illinois",9382,9521,9454,9507,8630,7074,3235,2115,1207,687,471,447,477,879,628,0,0,0,0
"Bethany","Moultrie County","Illinois",1322,1352,1287,1369,1550,1235,1118,850,819,802,842,859,873,688,269,0,0,0,0
"Big Rock","Kane County","Illinois",1160,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biggsville","Henderson County","Illinois",287,304,343,349,411,391,345,379,344,363,425,400,417,487,358,353,63,0,0
"Bingham","Fayette County","Illinois",83,83,117,98,128,84,122,170,199,144,192,191,273,178,0,0,0,0,0
"Bishop Hill","Henry County","Illinois",126,128,125,131,166,191,164,202,199,208,274,289,345,330,350,0,0,0,0
"Bismarck","Vermilion County","Illinois",560,579,542,0,0,0,0,0,0,0,0,0,0,0,1380,0,0,0,0
"Blandinsville","McDonough County","Illinois",628,651,777,762,886,922,853,918,914,952,1002,987,995,877,0,1565,455,0,0
"Bloomingdale","DuPage County","Illinois",22299,22018,21675,16614,12656,2974,1262,339,305,337,448,462,235,403,226,0,0,0,0
"Bloomington","McLean County","Illinois",78730,76610,64808,51972,44189,39992,36271,34163,32868,30930,28725,25768,23286,20484,17180,14590,7075,1594,0
"Blue Island","Cook County","Illinois",23785,23706,23463,21203,21855,22629,19618,17622,16638,16534,11424,8043,6114,3329,1542,0,0,0,0
"Blue Mound","Macon County","Illinois",1124,1158,1129,1161,1338,1181,1038,886,811,817,881,900,714,696,532,0,0,0,0
"Bluffs","Scott County","Illinois",691,715,748,774,821,866,779,784,839,953,1009,766,539,421,162,0,0,0,0
"Bluford","Jefferson County","Illinois",678,688,785,747,728,465,388,477,463,517,0,0,0,0,0,0,0,0,0
"Bolingbrook","Will County","Illinois",74180,73366,56321,40843,37261,7651,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bondville","Champaign County","Illinois",447,443,455,354,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bone Gap","Edwards County","Illinois",244,246,272,271,350,308,245,327,385,364,455,517,496,0,0,0,0,0,0
"Bonfield","Kankakee County","Illinois",375,382,364,299,294,241,178,143,116,116,126,162,165,150,0,0,0,0,0
"Bonnie","Jefferson County","Illinois",389,397,424,411,452,314,215,257,177,0,0,0,0,0,0,0,0,0,0
"Bourbonnais","Kankakee County","Illinois",18534,18631,15256,13934,13280,5909,3336,1598,771,685,620,611,595,0,0,0,0,0,0
"Bowen","Hancock County","Illinois",478,494,535,462,525,489,559,573,619,643,715,606,528,376,289,0,0,0,0
"Braceville","Grundy County","Illinois",775,793,792,587,721,668,558,384,321,219,303,971,1669,2150,278,0,0,0,0
"Bradford","Stark County","Illinois",741,768,787,678,924,885,857,952,907,951,915,770,773,604,506,280,0,0,0
"Bradley","Kankakee County","Illinois",15677,15895,12784,10792,11015,9881,8082,5699,3689,3048,2128,1942,1518,0,0,0,0,0,0
"Braidwood","Will County","Illinois",6185,6191,5203,3584,3429,2323,1944,1485,1354,1161,1297,1958,3279,4641,5524,0,0,0,0
"Breese","Clinton County","Illinois",4502,4442,4048,3567,3516,2885,2461,2181,2206,1957,2399,2128,1571,808,574,489,0,0,0
"Bridgeport","Lawrence County","Illinois",1813,1886,2168,2118,2281,2262,2260,2358,2143,2315,2229,2703,487,474,450,0,0,0,0
"Bridgeview","Cook County","Illinois",16491,16446,15335,14402,14155,12506,7334,1393,0,0,0,0,0,0,0,0,0,0,0
"Brighton","Macoupin County","Illinois",2217,2254,2196,2270,2364,1889,1248,934,697,548,586,595,660,742,691,0,0,0,0
"Brimfield","Peoria County","Illinois",862,868,933,797,890,729,656,648,618,572,617,576,677,719,832,0,565,0,0
"Broadlands","Champaign County","Illinois",356,349,312,340,346,315,344,333,361,377,384,480,0,0,0,0,0,0,0
"Broadview","Cook County","Illinois",7959,7932,8264,8713,8618,9623,8588,5196,1457,2334,430,0,0,0,0,0,0,0,0
"Broadwell","Logan County","Illinois",143,145,169,146,183,159,173,149,144,186,209,246,202,231,214,194,0,0,0
"Brocton","Edgar County","Illinois",305,322,322,322,393,349,380,406,449,429,562,558,613,292,0,0,0,0,0
"Brookfield","Cook County","Illinois",19023,18978,19085,18876,19395,20284,20429,15472,10817,10035,3589,2186,1111,0,0,0,0,0,0
"Brooklyn","St. Clair County","Illinois",723,749,676,1144,1233,1702,1922,2568,2158,2063,1685,1569,1019,0,0,0,0,0,0
"Brookport","Massac County","Illinois",941,984,1054,1070,1128,1046,1154,1119,1247,1336,1098,1443,865,216,0,104,0,0,0
"Broughton","Hamilton County","Illinois",192,194,193,218,263,235,235,324,387,381,506,470,327,0,200,0,0,0,0
"Browning","Schuyler County","Illinois",134,137,130,193,246,276,300,324,402,458,456,551,455,0,230,214,219,0,0
"Browns","Edwards County","Illinois",133,134,175,207,213,198,251,336,337,302,388,419,421,0,0,0,0,0,0
"Brownstown","Fayette County","Illinois",747,759,705,668,708,689,659,649,825,464,518,415,0,0,121,0,0,0,0
"Brussels","Calhoun County","Illinois",138,141,141,125,168,191,201,205,275,279,280,283,270,228,0,0,0,0,0
"Bryant","Fulton County","Illinois",215,220,255,273,333,326,346,396,387,442,482,237,355,309,449,0,0,0,0
"Buckingham","Kankakee County","Illinois",295,300,237,340,330,198,152,140,149,140,165,272,0,158,0,0,0,0,0
"Buckley","Iroquois County","Illinois",575,600,593,557,604,680,690,554,457,485,461,495,490,433,324,0,0,0,0
"Buckner","Franklin County","Illinois",451,462,479,478,520,489,610,783,927,1409,1827,0,0,0,0,0,0,0,0
"Buda","Bureau County","Illinois",523,538,592,563,668,675,732,761,734,794,796,887,873,990,778,0,0,0,0
"Buffalo","Sangamon County","Illinois",494,503,491,503,514,462,356,416,422,411,475,475,531,0,338,263,0,0,0
"Buffalo Grove","Cook/Lake County","Illinois",41701,41496,42909,36427,22230,12333,1492,0,0,0,0,0,0,0,0,0,0,0,0
"Bull Valley","McHenry County","Illinois",1107,1077,726,574,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bulpitt","Christian County","Illinois",216,222,206,206,301,275,307,376,390,447,470,0,0,0,0,0,0,0,0
