"Noorvik city",686,668,634,531,492,462,384,248,211,198,281,"-","-","-","-"
"North Pole city",2178,2117,1570,1456,724,265,615,"-","-","-","-","-","-","-","-"
"Nuiqsut city",416,402,433,354,208,"-","-","-","-","-","-","-","-","-","-"
"Nulato city",263,264,336,359,350,308,283,176,113,204,258,230,281,118,"-"
"Nunam Iqua city (Sheldon Point)",201,187,164,109,103,125,125,43,"-","-","-","-","-","-","-"
"Nunapitchuk city",521,496,466,378,"-","-",327,125,121,"-","-","-","-","-","-"
"Old Harbor city",223,218,237,284,340,290,193,121,109,84,54,"-","-","-","-"
"Ouzinkie city",165,161,225,209,173,160,"-","-","-",168,96,"-","-","-","-"
"Palmer city",6515,5937,4533,2866,2141,1140,1181,890,150,"-","-","-","-","-","-"
"Pelican city",86,88,163,222,180,133,135,180,48,"-","-","-","-","-","-"
"Petersburg city",,,3224,3207,2821,2042,1502,1619,1323,1252,879,585,"-","-","-"
"Pilot Point city",68,68,100,53,66,68,61,67,114,"-","-","-","-","-","-"
"Pilot Station city",609,568,550,463,325,290,219,52,39,87,145,"-","-","-","-"
"Platinum city",64,61,41,64,55,55,43,72,45,"-","-","-","-","-","-"
"Point Hope city",702,674,757,639,464,386,324,264,257,"-","-",243,623,301,"-"
"Port Alexander city",55,52,81,119,86,36,18,22,87,107,"-","-","-","-","-"
"Port Heiden city",102,102,119,119,92,66,74,"-","-",51,30,"-","-","-","-"
"Port Lions city",198,194,256,222,215,227,"-","-","-","-","-","-","-","-","-"
"Quinhagak city",702,669,555,501,412,"-","-","-","-",230,193,111,201,109,"-"
"Ruby city",165,166,188,170,197,145,179,132,138,132,128,"-","-","-","-"
"Russian Mission city",335,312,296,246,169,146,102,55,34,54,90,"-","-","-","-"
"Sand Point city",1073,976,952,878,625,360,254,107,99,69,60,"-","-","-","-"
"Savoonga city",690,671,643,519,491,364,299,249,209,139,"-","-","-","-","-"
"Saxman city",418,411,431,369,273,135,153,167,111,112,103,154,142,"-","-"
"Scammon Bay city",508,474,465,343,250,166,115,103,88,"-","-","-","-","-","-"
"Selawik city",852,829,772,596,535,429,348,273,239,227,274,"-","-","-","-"
"Seldovia city",272,254,286,316,479,437,460,437,410,379,258,173,149,99,"-"
"Seward city",2528,2693,2830,2699,1843,1587,1891,2114,949,835,652,534,"-","-","-"
"Shageluk city",83,83,129,139,131,167,155,100,92,88,130,"-","-","-","-"
"Shaktoolik city",258,251,230,178,164,151,187,127,128,104,73,"-","-","-","-"
"Shishmaref city",579,563,562,456,394,267,217,194,257,223,131,"-","-","-","-"
"Shungnak city",269,262,256,223,202,165,135,141,193,145,95,210,"-","-","-"
"Sitka city and borough",8900,8881,8835,8588,7803,3370,3237,1985,1987,1056,1175,1039,1396,1190,916
"Skagway city",,,862,692,768,675,659,758,634,492,494,872,3117,"-","-"
"Soldotna city",4445,4163,3759,3482,2320,1202,332,"-","-","-","-","-","-","-","-"
"St. George city",108,102,152,138,158,163,"-","-","-","-","-",90,"-","-","-"
"St. Mary's city",544,507,500,441,382,384,225,"-","-","-","-","-","-","-","-"
"St. Michael city",412,401,368,295,239,207,205,157,142,147,371,415,857,101,"-"
"St. Paul city",511,479,532,763,551,450,378,359,"-","-","-",291,"-","-","-"
"Stebbins city",572,556,547,400,331,231,158,115,98,"-","-","-","-","-","-"
"Tanana city",245,246,308,345,388,406,349,228,170,185,213,398,186,203,"-"
"Teller city",235,229,268,151,212,220,217,160,118,76,80,125,"-","-","-"
"Tenakee Springs city",130,131,104,94,138,86,109,140,188,210,174,126,"-","-","-"
"Thorne Bay city",488,471,557,569,320,443,"-","-","-","-","-","-","-","-","-"
"Togiak city",842,817,809,613,470,383,220,108,10,71,91,"-","-","-","-"
"Toksook Bay city",619,590,532,420,333,257,"-","-","-","-","-","-","-","-","-"
"Unalakleet city",707,688,747,714,623,434,574,469,329,261,285,247,241,175,"-"
"Unalaska city",4516,4376,4283,3089,1322,342,218,173,298,226,299,281,428,317,"-"
"Upper Kalskag city",221,210,230,172,129,"-","-","-","-","-","-","-","-","-","-"
"Valdez city",3921,3977,4036,4068,3079,1005,555,554,529,442,466,810,315,"-","-"
"Wainwright city",580,556,546,492,405,315,253,227,341,197,99,"-","-","-","-"
"Wales city",149,145,152,161,133,131,128,141,193,170,136,337,396,"-","-"
"Wasilla city",8849,7831,5469,4028,1559,300,112,97,96,51,"-","-","-","-","-"
"White Mountain city",195,190,203,180,125,87,151,129,199,205,198,"-","-","-","-"
"Whittier city",217,220,182,243,198,130,809,627,"-","-","-","-","-","-","-"
"Wrangell city and borough",2364,2365,2308,2479,2184,2029,1315,1263,1162,948,821,743,868,316,106
