"Elgin","Grant County","North Dakota",624,642,659,765,930,839,944,882,583,505,429,0,0,0,0
"Ellendale","Dickey County","North Dakota",1348,1394,1559,1798,1967,1517,1800,1759,1517,1264,1334,1389,750,761,0
"Elliott","Ransom County","North Dakota",25,25,44,32,44,50,62,87,118,106,0,0,0,0,0
"Emerado","Grand Forks County","North Dakota",435,414,510,483,596,515,328,0,0,0,0,0,0,0,0
"Enderlin","Ransom County","North Dakota",878,886,947,997,1151,1343,1596,1504,1593,1839,1919,1540,636,0,0
"Epping","Williams County","North Dakota",88,100,79,64,104,140,151,158,154,183,116,0,0,0,0
"Esmond","Benson County","North Dakota",101,100,159,196,337,416,420,475,449,313,343,353,0,0,0
"Fairdale","Walsh County","North Dakota",37,38,51,76,97,102,126,131,187,171,192,140,0,0,0
"Fairmount","Richland County","North Dakota",364,367,406,427,480,412,503,660,705,611,706,387,284,91,0
"Fargo","Cass County","North Dakota",115863,105549,90599,74111,61383,53365,46662,38256,32580,28619,21961,14331,9589,5664,2693
"Fessenden","Wells County","North Dakota",477,479,625,655,761,815,920,917,902,738,731,713,0,0,0
"Fingal","Barnes County","North Dakota",96,97,133,138,151,166,190,210,300,324,0,0,0,0,0
"Finley","Steele County","North Dakota",439,445,515,543,718,809,808,671,677,587,599,516,0,0,0
"Flasher","Morton County","North Dakota",221,232,285,317,410,467,515,413,387,346,287,0,0,0,0
"Flaxton","Burke County","North Dakota",71,66,73,121,182,286,375,436,362,423,374,301,0,0,0
"Forbes","Dickey County","North Dakota",53,53,64,56,84,88,138,204,268,265,293,221,0,0,0
"Fordville","Walsh County","North Dakota",208,212,266,299,326,361,367,376,439,442,320,0,0,0,0
"Forest River","Walsh County","North Dakota",121,125,154,148,152,169,191,236,207,198,226,233,252,0,0
"Forman","Sargent County","North Dakota",518,504,506,586,629,596,530,466,500,386,402,352,257,178,0
"Fort Ransom","Ransom County","North Dakota",78,77,70,111,99,0,0,0,0,0,0,0,0,0,0
"Fortuna","Divide County","North Dakota",23,22,31,53,98,216,185,181,214,196,198,0,0,0,0
"Fort Yates","Sioux County","North Dakota",194,184,228,183,771,1153,0,0,0,0,0,0,0,511,446
"Fredonia","Logan County","North Dakota",44,46,51,66,82,100,141,268,309,394,296,0,0,0,0
"Frontier","Cass County","North Dakota",215,214,273,218,160,0,0,0,0,0,0,0,0,0,0
"Fullerton","Dickey County","North Dakota",52,54,85,94,107,110,181,206,184,206,202,206,0,0,0
"Gackle","Logan County","North Dakota",297,310,335,450,456,470,523,604,537,493,424,0,0,0,0
"Galesburg","Traill County","North Dakota",107,108,157,161,165,134,166,169,0,0,0,0,0,0,0
"Gardena","Bottineau County","North Dakota",30,29,38,41,66,84,113,116,125,120,99,119,0,0,0
"Gardner","Cass County","North Dakota",77,74,80,85,94,96,107,136,103,108,0,0,0,0,0
"Garrison","McLean County","North Dakota",1542,1453,1318,1530,1830,1614,1794,1890,1117,1024,714,406,0,0,0
"Gascoyne","Bowman County","North Dakota",16,16,23,22,23,34,50,76,48,97,60,0,0,0,0
"Gilby","Grand Forks County","North Dakota",236,237,243,262,283,268,281,0,0,0,0,0,0,0,0
"Gladstone","Stark County","North Dakota",338,239,248,224,317,222,185,224,278,0,0,0,0,0,0
"Glenburn","Renville County","North Dakota",448,380,374,439,454,381,363,281,190,263,228,268,0,0,0
"Glenfield","Foster County","North Dakota",92,91,134,118,164,127,129,0,0,0,0,0,0,0,0
"Glen Ullin","Morton County","North Dakota",759,807,865,927,1125,1070,1210,1324,976,950,875,921,0,0,0
"Golden Valley","Mercer County","North Dakota",182,182,183,239,287,235,286,339,400,294,369,0,0,0,0
"Golva","Golden Valley County","North Dakota",68,61,106,101,101,104,162,174,0,0,0,0,0,0,0
"Goodrich","Sheridan County","North Dakota",97,98,163,192,288,300,392,448,476,468,476,410,0,0,0
"Grace City","Foster County","North Dakota",63,63,71,108,0,0,0,0,0,0,0,0,0,0,0
"Grafton","Walsh County","North Dakota",4268,4284,4516,4840,5293,5946,5885,4901,4070,3136,2512,2229,2378,1594,0
"Grand Forks","Grand Forks County","North Dakota",56057,52838,49321,49425,43765,39008,34451,26836,20228,17112,14010,12478,7652,4979,1705
"Grandin","Cass County","North Dakota",176,173,181,213,210,187,147,156,158,172,0,0,0,0,0
"Grano","Renville County","North Dakota",7,7,9,9,6,4,14,27,57,90,112,0,0,0,0
"Granville","McHenry County","North Dakota",272,241,286,236,281,282,400,404,443,450,394,455,0,0,0
"Great Bend","Richland County","North Dakota",59,60,118,108,113,86,164,169,198,169,142,191,0,0,0
"Grenora","Williams County","North Dakota",257,244,202,261,362,401,448,525,425,487,358,0,0,0,0
"Gwinner","Sargent County","North Dakota",822,753,717,585,725,623,242,197,0,0,0,0,0,0,0
"Hague","Emmons County","North Dakota",67,71,91,109,127,146,197,328,442,364,315,183,0,0,0
"Halliday","Dunn County","North Dakota",222,188,227,288,355,413,509,477,395,305,289,0,0,0,0
"Hamberg","Wells County","North Dakota",21,21,28,19,41,51,64,124,164,187,0,0,0,0,0
"Hamilton","Pembina County","North Dakota",60,61,73,74,109,110,217,241,255,151,200,213,224,257,0
"Hampden","Ramsey County","North Dakota",47,48,60,89,126,114,71,203,193,222,199,0,0,0,0
"Hankinson","Richland County","North Dakota",912,919,1058,1038,1158,1125,1285,1409,1420,1400,1477,1503,713,0,0
"Hannaford","Griggs County","North Dakota",125,131,181,204,201,244,277,313,405,351,431,340,0,0,0
"Hannah","Cavalier County","North Dakota",14,15,20,49,90,145,253,257,261,262,0,0,0,0,0
"Hansboro","Towner County","North Dakota",12,12,8,20,43,49,143,134,196,176,218,0,0,0,0
"Harvey","Wells County","North Dakota",1777,1783,1989,2263,2527,2361,2365,2337,1851,2157,1590,1443,0,0,0
"Harwood","Cass County","North Dakota",760,718,607,590,326,0,0,0,0,0,0,0,0,0,0
"Hatton","Traill County","North Dakota",771,777,707,800,787,808,856,991,933,804,828,666,430,0,0
"Havana","Sargent County","North Dakota",72,71,94,124,148,156,206,267,305,271,319,387,0,0,0
"Haynes","Adams County","North Dakota",23,23,19,37,58,53,111,145,210,167,113,0,0,0,0
"Hazelton","Emmons County","North Dakota",225,235,237,240,266,374,451,453,500,446,382,0,0,0,0
"Hazen","Mercer County","North Dakota",2450,2411,2457,2818,2365,1240,1222,1230,662,689,520,0,0,0,0
"Hebron","Morton County","North Dakota",703,747,803,888,1078,1103,1340,1412,1267,1348,1374,597,0,0,0
"Hettinger","Adams County","North Dakota",1256,1226,1307,1574,1739,1655,1769,1762,1138,1292,817,766,0,0,0
"Hillsboro","Traill County","North Dakota",1591,1603,1563,1488,1600,1309,1278,1331,1338,1317,1183,1237,1172,715,0
"Hoople","Walsh County","North Dakota",235,242,292,310,350,330,334,447,346,325,250,175,174,0,0
"Hope","Steele County","North Dakota",258,258,303,281,406,364,390,470,474,535,699,909,606,238,0
"Horace","Cass County","North Dakota",2548,2430,915,662,494,276,178,190,0,0,0,0,0,0,0
"Hunter","Cass County","North Dakota",270,261,326,341,369,362,446,417,414,406,424,365,407,194,0
"Hurdsfield","Wells County","North Dakota",83,84,91,92,113,139,183,223,258,220,0,0,0,0,0
"Inkster","Grand Forks County","North Dakota",49,50,102,95,135,198,282,304,310,257,368,353,0,211,0
"Jamestown","Stutsman County","North Dakota",15446,15427,15527,15571,16280,15385,15163,10697,8790,8187,6627,4358,2853,2296,393
"Jud","LaMoure County","North Dakota",73,72,76,84,118,110,156,175,202,140,178,99,0,0,0
"Karlsruhe","McHenry County","North Dakota",87,82,119,143,164,172,221,282,289,258,0,0,0,0,0
"Kathryn","Barnes County","North Dakota",52,52,63,72,95,109,142,200,229,224,289,0,0,0,0
"Kenmare","Ward County","North Dakota",1089,1096,1081,1214,1456,1515,1696,1712,1528,1494,1446,1437,0,0,0
"Kensal","Stutsman County","North Dakota",160,163,161,191,210,263,334,376,356,420,415,456,0,0,0
"Kief","McHenry County","North Dakota",14,13,13,24,36,46,97,135,159,139,307,0,0,0,0
"Killdeer","Dunn County","North Dakota",1026,751,713,722,790,615,765,698,650,495,512,0,0,0,0
"Kindred","Cass County","North Dakota",735,692,614,569,568,495,580,504,450,429,334,0,0,0,0
"Knox","Benson County","North Dakota",25,25,59,45,69,104,122,190,189,177,173,330,0,0,0
"Kramer","Bottineau County","North Dakota",30,29,44,51,84,125,175,198,220,190,172,181,0,0,0
"Kulm","LaMoure County","North Dakota",344,354,422,514,570,625,664,707,734,742,725,645,463,0,0
"Lakota","Nelson County","North Dakota",661,672,781,898,963,964,1066,1032,907,860,959,1023,576,227,0
"LaMoure","LaMoure County","North Dakota",935,889,944,970,1077,951,1068,1010,990,889,1014,929,457,309,0
"Landa","Bottineau County","North Dakota",39,38,28,38,62,61,110,132,149,140,0,0,0,0,0
"Langdon","Cavalier County","North Dakota",1806,1878,2101,2241,2335,2182,2151,1838,1546,1221,1228,1214,1188,291,0
"Lankin","Walsh County","North Dakota",95,98,131,152,175,221,303,287,283,267,334,341,0,0,0
"Lansford","Bottineau County","North Dakota",253,245,253,249,294,296,382,352,300,353,337,456,0,0,0
"Larimore","Grand Forks County","North Dakota",1351,1346,1433,1464,1524,1469,1714,1374,1222,979,1089,1224,1235,553,0
"Lawton","Ramsey County","North Dakota",30,30,42,63,101,123,159,211,210,233,227,0,0,0,0
"Leal","Barnes County","North Dakota",20,20,36,35,45,41,70,72,102,105,88,0,0,0,0
"Leeds","Benson County","North Dakota",438,427,464,542,678,626,797,778,782,725,704,682,349,0,0
"Lehr","McIntosh/Logan County","North Dakota",79,80,114,191,254,287,381,394,536,458,362,182,0,0,0
"Leith","Grant County","North Dakota",16,16,28,43,59,92,100,160,166,174,158,0,0,0,0
"Leonard","Cass County","North Dakota",228,223,255,310,289,221,232,0,0,0,0,0,0,0,0
"Lidgerwood","Richland County","North Dakota",635,652,738,799,971,1000,1081,1147,1042,1029,1065,1019,585,0,0
"Lignite","Burke County","North Dakota",248,155,174,242,332,354,355,230,235,217,214,0,0,0,0
"Lincoln","Burleigh County","North Dakota",3351,2406,1730,1132,656,0,0,0,0,0,0,0,0,0,0
"Linton","Emmons County","North Dakota",1047,1097,1321,1410,1561,1695,1826,1675,1602,1192,1011,644,0,0,0
"Lisbon","Ransom County","North Dakota",2139,2154,2292,2177,2283,2090,2093,2031,1997,1650,1855,1758,1046,935,0
"Litchville","Barnes County","North Dakota",171,172,191,205,251,294,345,408,430,410,528,484,0,0,0
