"Westmoreland","town","Cheshire County","New Hampshire",1714,1874,1747,1596,1452,998,921,789,755,745,615,758,875,830,1095,1256,1285,1678,1546,1647,2029,1937,2066,2018
"Winchester","town","Cheshire County","New Hampshire",4213,4341,4144,4038,3465,2869,2411,2388,2275,2183,2267,2282,2274,2584,2444,2097,2225,3296,2065,2051,1849,1478,1413,1209
"Atkinson and Gilmanton Academy grant","town","Coos County","New Hampshire",0,0,12,0,0,4,0,0,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0
"Beans grant","town","Coos County","New Hampshire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beans purchase","town","Coos County","New Hampshire",0,0,4,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berlin","town","Coos County","New Hampshire",9367,10051,10331,11824,13084,15256,17821,16615,19084,20018,16104,11780,8886,3729,1144,529,433,173,116,73,0,0,0,0
"Cambridge township","town","Coos County","New Hampshire",8,8,10,0,5,4,0,8,0,1,1,5,17,31,36,28,49,33,5,0,0,0,0,0
"Carroll","town","Coos County","New Hampshire",748,763,663,528,647,310,295,359,496,402,388,569,710,813,632,378,276,296,218,108,0,0,0,0
"Chandlers purchase","town","Coos County","New Hampshire",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"Clarksville","town","Coos County","New Hampshire",249,265,294,232,262,166,179,171,225,215,410,271,307,325,328,269,249,187,88,0,0,0,0,0
"Colebrook","town","Coos County","New Hampshire",2188,2301,2321,2444,2459,2094,2389,2116,2096,1937,1811,1905,1876,1736,1580,1372,1118,908,743,542,469,325,160,29
"Columbia","town","Coos County","New Hampshire",737,757,750,661,673,467,457,495,483,524,601,619,690,605,762,752,798,762,620,442,249,142,109,26
"Crawfords purchase","town","Coos County","New Hampshire",0,0,0,0,0,0,0,0,0,0,0,0,10,28,28,0,0,0,0,0,0,0,0,0
"Cutts grant","town","Coos County","New Hampshire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dalton","town","Coos County","New Hampshire",913,979,927,827,672,425,567,557,642,580,460,475,592,596,570,773,666,751,664,532,347,235,62,14
"Dixs grant","town","Coos County","New Hampshire",1,1,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
"Dixville township","town","Coos County","New Hampshire",11,12,75,50,36,18,18,13,13,25,24,12,15,11,32,8,0,0,4,2,2,12,0,0
"Dummer","town","Coos County","New Hampshire",288,304,309,327,390,225,202,229,274,298,266,292,349,455,464,317,289,171,57,65,27,7,0,0
"Errol","town","Coos County","New Hampshire",273,291,298,292,313,199,220,224,235,293,241,211,305,178,161,178,178,138,104,82,26,38,0,0
"Ervings location","town","Coos County","New Hampshire",0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
