"Hillsboro","Washington County","Oregon",99393,91611,70296,37520,27664,14675,8232,5142,3747,3039,2468,2016,980,0,402,0,0
"Hines","Harney County","Oregon",1500,1563,1664,1452,1632,1407,1207,918,677,0,0,0,0,0,0,0,0
"Hood River","Hood River County","Oregon",7476,7167,5914,4632,4329,3991,3657,3701,3280,2757,3195,2331,766,201,0,0,0
"Hubbard","Marion County","Oregon",3221,3173,2483,1881,1640,975,526,493,387,330,320,283,213,117,141,0,0
"Huntington","Baker County","Oregon",437,440,512,522,539,507,689,733,741,803,660,680,821,321,0,0,0
"Idanha","Linn/Marion County","Oregon",137,134,232,289,319,382,295,442,0,0,0,0,0,0,0,0,0
"Imbler","Union County","Oregon",306,306,284,299,292,139,137,149,182,203,206,0,0,0,0,0,0
"Independence","Polk County","Oregon",8768,8590,6035,4425,4024,2594,1930,1987,1372,1248,1148,1160,909,0,691,0,425
"Ione","Morrow County","Oregon",328,329,321,255,345,355,350,262,262,283,439,239,223,0,0,0,0
"Irrigon","Morrow County","Oregon",1791,1826,1704,737,700,261,232,0,0,0,0,0,0,0,0,0,0
"Island City","Union County","Oregon",994,989,916,696,477,202,158,138,177,116,141,166,0,0,0,0,0
"Jacksonville","Jackson County","Oregon",2847,2785,2235,1896,2030,1611,1172,1193,761,706,489,785,653,743,839,0,0
"Jefferson","Marion County","Oregon",3202,3098,2487,1805,1702,936,716,636,479,391,417,415,273,307,0,0,0
"John Day","Grant County","Oregon",1680,1744,1799,1836,2012,1566,1520,1597,706,432,321,258,282,211,0,0,0
"Johnson City","Clackamas County","Oregon",569,566,634,586,378,0,0,0,0,0,0,0,0,0,0,0,0
"Jordan Valley","Malheur County","Oregon",175,181,239,364,473,196,204,236,274,306,355,0,0,0,0,0,0
"Joseph","Wallowa County","Oregon",1052,1081,1055,1073,999,839,788,666,593,504,770,725,237,249,0,0,0
"Junction City","Lane County","Oregon",5708,5392,5132,3670,3320,2373,1614,1475,1187,922,687,759,506,0,428,0,0
"Keizer","Marion County","Oregon",37303,36478,32190,21884,0,0,0,0,0,0,0,0,0,0,0,0,0
"King City","Washington County","Oregon",3641,3111,1949,2060,1853,1427,0,0,0,0,0,0,0,0,0,0,0
"Klamath Falls","Klamath County","Oregon",21119,20840,19480,17737,16661,15775,16949,15875,16497,16093,4801,2758,447,364,250,0,0
"La Grande","Union County","Oregon",13026,13082,12327,11766,11354,9645,9014,8635,7747,8050,6913,4843,2991,2583,0,0,0
"La Pine","Deschutes County","Oregon",1742,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lafayette","Yamhill County","Oregon",3835,3742,2586,1292,1215,786,553,662,409,0,410,412,359,365,396,0,0
"Lake Oswego","Clackamas County","Oregon",37999,36619,35278,30576,22527,14615,8906,3316,1726,1285,1818,0,0,544,96,0,0
"Lakeside","Coos County","Oregon",1686,1699,1371,1437,1453,0,0,0,0,0,0,0,0,0,0,0,0
"Lakeview","Lake County","Oregon",2298,2294,2478,2526,2770,2705,3260,2831,2466,1799,1139,1253,761,0,270,0,0
"Lebanon","Linn County","Oregon",15982,15518,12978,10950,10413,6636,5858,5873,2729,1851,1805,1820,922,829,270,0,0
"Lexington","Morrow County","Oregon",238,238,263,286,307,230,240,237,223,180,264,185,0,0,0,23,0
"Lincoln City","Lincoln County","Oregon",8036,7930,7437,5892,5469,4198,0,0,0,0,0,0,0,0,0,0,0
"Lonerock","Gilliam County","Oregon",22,21,24,11,26,12,31,38,46,82,73,70,0,0,0,0,0
"Long Creek","Grant County","Oregon",192,197,228,249,252,196,295,288,238,139,148,86,123,60,0,0,0
"Lostine","Wallowa County","Oregon",209,213,263,231,250,196,240,178,204,176,244,230,0,0,0,0,0
"Lowell","Lane County","Oregon",1068,1045,857,785,661,567,503,0,0,0,0,0,0,0,0,0,0
"Lyons","Linn County","Oregon",1170,1161,1008,938,877,645,463,0,0,0,0,0,0,0,0,0,0
"Madras","Jefferson County","Oregon",6533,6046,5099,3443,2235,1689,1515,1258,412,291,337,364,0,0,0,0,0
"Malin","Klamath County","Oregon",789,805,638,725,539,486,568,592,535,215,0,0,0,0,0,0,0
"Manzanita","Tillamook County","Oregon",613,598,564,513,443,365,363,339,0,0,0,0,0,0,0,0,0
"Maupin","Wasco County","Oregon",423,418,411,456,495,428,381,312,267,240,198,0,0,0,0,0,0
"Maywood Park","Multnomah County","Oregon",772,752,777,781,845,1305,0,0,0,0,0,0,0,0,0,0,0
"McMinnville","Yamhill County","Oregon",33393,32187,26502,17894,14080,10125,7656,6635,3706,2917,2767,2400,1420,1368,670,388,0
"Medford","Jackson County","Oregon",78557,74907,63387,46951,39746,28973,24425,17305,11281,11007,5756,8840,1791,967,0,0,0
"Merrill","Klamath County","Oregon",824,844,897,837,809,722,804,835,648,306,237,0,0,0,0,0,0
"Metolius","Jefferson County","Oregon",723,710,729,450,451,270,270,157,40,38,94,0,0,0,0,0,0
"Mill City","Linn/Marion County","Oregon",1869,1855,1537,1555,1565,1451,1289,1792,0,0,0,0,0,0,0,0,0
"Millersburg","Linn County","Oregon",1410,1329,651,715,562,0,0,0,0,0,0,0,0,0,0,0,0
"Milton-Freewater","Umatilla County","Oregon",7088,7050,6470,5533,5086,4105,4110,0,0,0,0,0,0,0,0,0,0
"Milwaukie","Clackamas County","Oregon",20640,20291,20490,18692,17931,16444,9099,5253,1871,1767,1172,860,0,489,125,0,0
"Mitchell","Wheeler County","Oregon",125,130,170,163,183,196,236,415,219,211,224,210,135,0,0,0,0
"Molalla","Clackamas County","Oregon",8422,8108,5666,3651,2992,2005,1501,1497,907,655,496,0,0,0,0,0,0
"Monmouth","Polk County","Oregon",9950,9534,7741,6288,5594,5237,2229,1956,965,906,582,493,606,0,267,0,0
"Monroe","Benton County","Oregon",615,617,607,448,412,443,374,362,311,227,191,0,0,0,135,0,0
"Monument","Grant County","Oregon",125,128,151,162,192,161,214,228,118,97,147,119,0,0,0,0,0
"Moro","Sherman County","Oregon",312,324,337,292,336,290,327,359,309,352,418,378,335,0,0,0,0
"Mosier","Wasco County","Oregon",435,433,410,244,340,217,252,259,216,192,259,0,0,0,0,0,0
"Mount Angel","Marion County","Oregon",3407,3286,3121,2778,2876,1973,1428,1315,1032,979,986,545,537,0,0,0,0
"Mount Vernon","Grant County","Oregon",506,527,595,538,569,423,502,451,0,0,0,0,0,0,0,0,0
"Myrtle Creek","Douglas County","Oregon",3414,3439,3419,3063,3365,2733,2231,1781,441,401,385,429,189,0,119,0,0
"Myrtle Point","Coos County","Oregon",2482,2514,2451,2712,2859,2511,2886,2033,1296,1362,934,836,530,354,52,0,0
"Nehalem","Tillamook County","Oregon",266,271,203,232,258,241,233,270,247,245,192,119,59,0,0,0,0
"Newberg","Yamhill County","Oregon",22692,22068,18064,13086,10394,6507,4204,3946,2960,2951,2566,2260,945,514,0,0,0
"Newport","Lincoln County","Oregon",10116,9989,9532,8437,7519,5188,5344,3241,2019,1530,980,721,256,121,52,0,0
"North Bend","Coos County","Oregon",9543,9695,9544,9614,9779,8553,7512,6099,4262,4012,3268,2078,0,0,84,0,0
"North Plains","Washington County","Oregon",2058,1947,1605,972,715,690,0,0,0,0,0,0,0,0,0,0,0
"North Powder","Union County","Oregon",434,439,489,448,430,304,399,403,376,553,613,455,0,185,0,0,0
"Nyssa","Malheur County","Oregon",3167,3267,3163,2629,2862,2620,2611,2525,1855,821,563,449,0,0,0,0,0
"Oakland","Douglas County","Oregon",920,927,954,844,886,1010,856,829,367,421,516,467,368,339,369,0,0
"Oakridge","Lane County","Oregon",3201,3205,3148,3063,3729,3422,1973,1562,520,0,0,0,0,0,0,0,0
"Ontario","Malheur County","Oregon",10982,11366,11036,9392,8814,6523,5101,4465,3551,1941,2039,1248,445,0,0,0,0
"Oregon City","Clackamas County","Oregon",35266,31859,25947,14698,14673,9176,7996,7682,6124,5761,5686,4287,3494,3062,1263,0,1229
"Paisley","Lake County","Oregon",237,243,247,350,343,260,219,214,237,259,257,0,0,0,89,0,0
"Pendleton","Umatilla County","Oregon",16904,16612,16354,15126,14521,13197,14434,11774,8847,6621,6837,4460,4406,2506,730,0,0
"Philomath","Benton County","Oregon",4563,4584,4056,2983,2673,1688,1359,1289,856,694,591,505,343,0,224,0,0
"Phoenix","Jackson County","Oregon",4514,4538,4061,3239,2309,1287,769,746,432,439,159,250,0,0,277,0,0
"Pilot Rock","Umatilla County","Oregon",1510,1502,1533,1478,1630,1612,1695,847,358,275,361,197,0,0,0,0,0
"Port Orford","Curry County","Oregon",1133,1133,1153,1025,1061,1037,1171,674,755,0,0,0,0,0,0,0,0
"Portland","Multnomah County","Oregon",619360,583776,529148,437319,368148,379967,372676,373628,305394,301815,258288,207214,90426,46385,17577,8293,2874
"Powers","Coos County","Oregon",678,689,734,682,819,842,1366,895,0,0,0,0,0,0,0,0,0
"Prairie City","Grant County","Oregon",879,909,1080,1117,1106,867,801,822,647,438,643,348,213,222,0,0,0
"Prescott","Columbia County","Oregon",58,55,72,63,73,105,129,119,0,0,0,0,0,0,0,0,0
"Prineville","Crook County","Oregon",9258,9253,7563,5355,5276,4101,3263,3233,2358,1027,1144,1042,656,460,0,0,0
"Rainier","Columbia County","Oregon",1913,1895,1687,1674,1655,1731,1152,1285,1183,1353,1287,1359,522,238,0,0,0
"Redmond","Deschutes County","Oregon",27941,26215,13854,7163,6452,3721,3340,2956,1876,994,585,216,0,0,0,0,0
"Reedsport","Douglas County","Oregon",4085,4154,4378,4796,4984,4039,2998,2288,1421,1178,850,0,0,0,0,0,0
"Richland","Baker County","Oregon",163,156,147,161,181,133,228,220,254,212,244,334,0,0,0,0,0
"Riddle","Douglas County","Oregon",1177,1185,1014,1143,1265,1042,992,634,214,195,268,187,131,0,0,0,0
"Rivergrove","Clackamas/Washington County","Oregon",299,289,324,294,314,0,0,0,0,0,0,0,0,0,0,0,0
"Rockaway Beach","Tillamook County","Oregon",1310,1312,1267,970,906,665,771,1027,0,0,0,0,0,0,0,0,0
"Rogue River","Jackson County","Oregon",2178,2131,1847,1759,1308,841,520,590,383,286,211,0,0,0,0,0,0
"Roseburg","Douglas County","Oregon",21903,21181,20025,17032,16644,14461,11467,8390,4924,4362,4258,4738,1690,1472,822,0,0
"Rufus","Sherman County","Oregon",239,249,264,295,352,317,0,0,0,0,0,0,0,0,0,0,0
"Salem","Marion/Polk County","Oregon",161637,154637,136971,107786,89091,68725,49142,43140,30908,26266,17679,14094,4258,3398,2538,1139,0
"Sandy","Clackamas County","Oregon",10309,9570,5385,4152,2905,1544,1147,1003,473,284,242,0,0,0,0,0,0
"Scappoose","Columbia County","Oregon",6856,6592,4976,3529,3213,1859,923,659,336,248,0,0,0,0,0,0,0
"Scio","Linn County","Oregon",852,838,695,623,579,447,441,448,351,258,300,295,346,253,193,0,0
"Scotts Mills","Marion County","Oregon",365,357,312,283,249,208,155,217,227,153,208,0,0,0,0,0,0
"Seaside","Clatsop County","Oregon",6492,6457,5909,5359,5193,4402,3877,3886,2902,1565,1802,1121,191,0,0,0,0
"Seneca","Grant County","Oregon",194,199,223,191,285,0,0,0,0,0,0,0,0,0,0,0,0
"Shady Cove","Jackson County","Oregon",2973,2904,2307,1351,1097,0,0,0,0,0,0,0,0,0,0,0,0
"Shaniko","Wasco County","Oregon",37,36,26,26,30,58,39,61,55,100,124,495,0,0,0,0,0
"Sheridan","Yamhill County","Oregon",6065,6127,5561,3979,2249,1881,1763,1922,1294,1008,979,1021,466,299,196,0,0
"Sherwood","Washington County","Oregon",18978,18194,11798,3093,2386,1396,680,575,447,382,320,115,111,0,0,0,0
"Siletz","Lincoln County","Oregon",1193,1212,1133,926,1001,596,583,570,0,0,0,0,0,0,0,0,0
"Silverton","Marion County","Oregon",9493,9222,7433,5635,5168,4301,3081,3146,2925,2462,2251,1588,656,511,229,0,0
"Sisters","Deschutes County","Oregon",2224,2038,959,679,696,516,602,723,0,0,0,0,0,0,0,0,0
"Sodaville","Linn County","Oregon",312,308,290,192,145,178,145,157,99,77,72,110,178,66,56,0,0
"Spray","Wheeler County","Oregon",153,160,140,149,155,161,194,0,0,0,0,0,0,0,0,0,0
"Springfield","Lane County","Oregon",60263,59403,53071,44683,41621,26874,19616,10807,3805,2364,1855,1838,353,371,160,0,0
