,"Sutter County","California",95847,94737
,"Tehama County","California",63067,63463
,"Trinity County","California",13170,13786
,"Tulare County","California",458198,442179
,"Tuolumne County","California",53831,55365
,"Ventura County","California",846178,823318
,"Yolo County","California",207590,200849
,"Yuba County","California",73966,72155
,"Adams County","Colorado",480718,441603
,"Alamosa County","Colorado",16177,15445
,"Arapahoe County","Colorado",618821,572003
,"Archuleta County","Colorado",12244,12084
,"Baca County","Colorado",3645,3788
,"Bent County","Colorado",5630,6499
,"Boulder County","Colorado",313333,294567
,"Broomfield County","Colorado",62138,55889
,"Chaffee County","Colorado",18363,17809
,"Cheyenne County","Colorado",1871,1836
,"Clear Creek County","Colorado",9187,9088
,"Conejos County","Colorado",8265,8256
,"Costilla County","Colorado",3568,3524
,"Crowley County","Colorado",5360,5823
,"Custer County","Colorado",4361,4255
,"Delta County","Colorado",29870,30952
,"Denver County","Colorado",663862,600158
,"Dolores County","Colorado",1978,2064
,"Douglas County","Colorado",314638,285465
,"Eagle County","Colorado",52921,52197
,"Elbert County","Colorado",24195,23086
,"El Paso County","Colorado",663519,622263
,"Fremont County","Colorado",46502,46824
,"Garfield County","Colorado",57461,56389
,"Gilpin County","Colorado",5851,5441
,"Grand County","Colorado",14546,14843
,"Gunnison County","Colorado",15725,15324
,"Hinsdale County","Colorado",786,843
,"Huerfano County","Colorado",6462,6711
,"Jackson County","Colorado",1396,1394
,"Jefferson County","Colorado",558503,534543
,"Kiowa County","Colorado",1402,1398
,"Kit Carson County","Colorado",8072,8270
,"Lake County","Colorado",7357,7310
,"La Plata County","Colorado",53989,51334
,"Larimer County","Colorado",324122,299630
,"Las Animas County","Colorado",14052,15507
,"Lincoln County","Colorado",5510,5467
,"Logan County","Colorado",22524,22709
,"Mesa County","Colorado",148255,146723
,"Mineral County","Colorado",698,712
,"Moffat County","Colorado",12928,13795
,"Montezuma County","Colorado",25772,25535
,"Montrose County","Colorado",40873,41276
,"Morgan County","Colorado",28328,28159
,"Otero County","Colorado",18488,18831
,"Ouray County","Colorado",4629,4436
,"Park County","Colorado",16345,16206
,"Phillips County","Colorado",4363,4442
,"Pitkin County","Colorado",17626,17148
,"Prowers County","Colorado",12034,12551
,"Pueblo County","Colorado",161875,159063
,"Rio Blanco County","Colorado",6707,6666
,"Rio Grande County","Colorado",11607,11982
,"Routt County","Colorado",23865,23509
,"Saguache County","Colorado",6196,6108
,"San Juan County","Colorado",720,699
,"San Miguel County","Colorado",7840,7359
,"Sedgwick County","Colorado",2348,2379
,"Summit County","Colorado",29404,27994
,"Teller County","Colorado",23389,23350
,"Washington County","Colorado",4780,4814
,"Weld County","Colorado",277670,252825
,"Yuma County","Colorado",10202,10043
,"Fairfield County","Connecticut",945438,916829
,"Hartford County","Connecticut",897985,894014
,"Litchfield County","Connecticut",184993,189927
,"Middlesex County","Connecticut",164943,165676
,"New Haven County","Connecticut",861277,862477
,"New London County","Connecticut",273676,274055
,"Tolland County","Connecticut",151367,152691
,"Windham County","Connecticut",116998,118428
,"Kent County","Delaware",171987,162310
,"New Castle County","Delaware",552778,538479
,"Sussex County","Delaware",210849,197145
,"District of Columbia","District of Columbia",658893,601723
,"Alachua County","Florida",256380,247336
,"Baker County","Florida",27093,27115
,"Bay County","Florida",178985,168852
,"Bradford County","Florida",26702,28520
,"Brevard County","Florida",556885,543376
,"Broward County","Florida",1869235,1748066
,"Calhoun County","Florida",14532,14625
,"Charlotte County","Florida",168474,159978
,"Citrus County","Florida",139377,141236
,"Clay County","Florida",199798,190865
,"Collier County","Florida",348777,321520
,"Columbia County","Florida",67857,67531
,"DeSoto County","Florida",35012,34862
,"Dixie County","Florida",15907,16422
,"Duval County","Florida",897698,864263
,"Escambia County","Florida",310659,297619
,"Flagler County","Florida",102408,95696
,"Franklin County","Florida",11815,11549
,"Gadsden County","Florida",46281,46389
,"Gilchrist County","Florida",16997,16939
,"Glades County","Florida",13635,12884
,"Gulf County","Florida",15944,15863
,"Hamilton County","Florida",14048,14799
,"Hardee County","Florida",27469,27731
,"Hendry County","Florida",38505,39140
