"Cherry Valley","Cross County",616,651,704,659,729,556,455,521,0,0,0,0,0,0,0,0,0,0
"Chester","Crawford County",160,159,99,125,139,82,99,120,207,196,223,162,174,222,0,0,0,0
"Chidester","Ouachita County",276,287,335,489,342,232,348,425,508,399,280,211,0,0,0,0,0,0
"Clarendon","Monroe County",1542,1664,1960,2072,2361,2563,2293,2547,2551,2149,2638,2037,1840,1060,400,0,0,0
"Clarkedale","Crittenden County",359,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clarksville","Johnson County",9391,9178,7719,5833,5237,4616,3919,4343,3118,3031,2127,1456,1086,937,656,466,316,398
"Clinton","Van Buren County",2549,2602,2283,2213,1284,1029,744,853,915,0,0,0,297,176,166,0,0,0
"Coal Hill","Johnson County",1021,1012,1001,912,859,733,704,873,1040,1169,1057,1229,1341,802,200,0,0,0
"College City","Lawrence County",485,455,269,339,432,645,358,0,0,0,0,0,0,0,0,0,0,0
"Colt","St. Francis County",356,378,368,334,378,301,394,267,259,267,265,0,0,0,0,0,0,0
"Concord","Cleburne County",240,244,255,262,234,163,0,0,0,0,0,0,0,0,0,0,0,0
"Conway","Faulkner County",64490,58908,43167,26481,20375,15510,9791,8610,5782,5534,4564,2794,2003,1207,1028,0,0,0
"Corinth","Yell County",69,70,65,63,38,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corning","Clay County",3163,3377,3679,3323,3650,2705,2192,2045,1619,1550,1564,1439,1041,584,393,0,0,0
"Cotter","Baxter County",947,970,921,867,920,858,683,1089,903,1064,884,894,0,0,0,0,0,0
"Cotton Plant","Woodruff County",619,649,960,1150,1323,1657,1704,1838,1778,1689,1661,1081,458,429,98,0,0,0
"Cove","Polk County",373,382,383,346,391,334,320,405,381,482,0,0,0,0,0,0,0,0
"Coy","Lonoke County",96,96,116,142,183,240,206,0,0,0,0,0,0,0,0,0,0,0
"Crawfordsville","Crittenden County",463,479,514,617,685,831,744,680,656,612,605,0,0,0,0,0,0,0
"Crossett","Ashley County",5252,5507,6097,6282,6706,6191,5370,4619,4891,2811,2707,2038,0,0,0,0,0,0
"Cushman","Independence County",454,452,461,428,556,427,241,314,427,412,349,244,0,0,0,0,0,0
"Daisy","Pike County",112,115,118,122,177,100,86,74,82,100,130,136,0,0,0,0,0,0
"Damascus","Split (Faulkner/Van Buren)",383,382,306,246,307,255,0,0,0,0,0,0,0,0,0,0,0,0
"Danville","Yell County",2377,2409,2392,1585,1698,1362,955,829,1010,761,833,803,600,0,200,0,0,0
"Dardanelle","Yell County",4710,4745,4228,3722,3621,3297,2098,1772,1807,1832,1835,1757,1602,1456,748,926,299,0
"Datto","Clay County",94,100,97,120,112,142,167,176,198,275,242,244,0,0,0,0,0,0
"De Queen","Sevier County",6749,6594,5765,4633,4594,3863,2859,3015,3055,2938,2517,2018,1200,0,0,0,0,0
"De Valls Bluff","Prairie County",587,619,783,702,738,622,654,830,686,672,885,924,605,380,186,0,0,0
"Decatur","Benton County",1766,1699,1314,918,1013,847,415,350,358,413,424,246,0,0,0,0,0,0
"Delaplaine","Greene County",117,116,127,146,161,145,186,208,180,161,152,0,0,0,0,0,0,0
"Delight","Pike County",273,279,311,311,431,439,446,574,481,408,391,539,0,0,0,0,0,0
"Dell","Mississippi County",211,223,251,258,310,358,383,384,323,267,233,162,0,0,0,0,0,0
"Denning","Franklin County",308,314,270,206,238,203,227,268,341,384,608,757,0,0,0,0,0,0
"Dermott","Chicot County",2754,2316,3292,4715,4731,4250,3665,3601,3083,2942,2330,1662,467,0,0,0,0,0
"Des Arc","Prairie County",1638,1717,1933,2001,2001,1714,1482,1612,1410,1348,1307,1061,640,546,548,0,0,0
"DeWitt","Arkansas County",3215,3292,3552,3553,3928,3728,3019,2843,2498,0,0,831,318,246,169,0,0,0
"Diamond City","Boone County",782,782,730,601,650,282,0,0,0,0,0,0,0,0,0,0,0,0
"Diaz","Jackson County",1274,1318,1284,1363,1192,283,348,0,0,0,0,0,0,0,0,0,0,0
"Dierks","Howard County",1108,1133,1230,1263,1249,1159,1276,1253,1459,1544,1495,272,0,0,0,0,0,0
"Donaldson","Hot Spring County",301,301,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dover","Pope County",1397,1378,1329,1055,948,662,525,510,493,510,388,385,373,528,368,0,0,0
"Dumas","Desha County",4432,4706,5238,5520,6091,4600,3540,2512,2323,1669,1124,519,0,0,0,0,0,0
